/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S15. Revised site-to-site correlation tie points between ODP Sites 208-1263 and 208-1265. PANGAEA, https://doi.org/10.1594/PANGAEA.917521, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.835017 * LONGITUDE: 2.639233
	DATE/TIME START: 2003-04-08T00:00:00 * DATE/TIME END: 2003-04-15T00:00:00
	MINIMUM DEPTH, sediment/rock: 42.750 m * MAXIMUM DEPTH, sediment/rock: 285.500 m
Event(s):	208-1265 * LATITUDE: -28.835017 * LONGITUDE: 2.639233 * DATE/TIME START: 2003-04-08T00:00:00 * DATE/TIME END: 2003-04-15T00:00:00 * ELEVATION: -3059.6 m * Penetration: 1051.6 m * Recovery: 586.9 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 70 cores; 618.6 m cored; 433 m drilled; 94.9 % recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tie point (Tie point) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: correctde
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	1743 data points
*/
Sample label	Depth sed [m] (mbsf)	Depth comp [mcd]	Tie point	Sample label	Depth sed [m] (mbsf)	Depth comp r [rmcd]	Depth comp r [rmcd] (correctde)	Reference
208-1265A-25-5,25	234.250	268.44	Ties To	208-1263A-28-2,65	243.75	286.27	286.27	Westerhold et al. 2017
208-1265A-25-5,42	234.420	268.61	Ties To	208-1263A-28-2,84	243.94	286.46	286.46	Westerhold et al. 2017
208-1265A-25-5,86	234.860	269.05	Ties To	208-1263A-28-2,124	244.34	286.86	286.86	Westerhold et al. 2017
208-1265B-26-2,62	234.820	269.51	Ties To	208-1263A-28-3,16	244.76	287.28	287.28	Westerhold et al. 2017
208-1265B-26-2,90	235.100	269.79	Ties To	208-1263A-28-3,42	245.02	287.54	287.54	Westerhold et al. 2017
208-1265B-26-2,114	235.340	270.03	Ties To	208-1263A-28-3,64	245.24	287.76	287.76	Westerhold et al. 2017
208-1265B-26-2,132	235.520	270.21	Ties To	208-1263A-28-3,78	245.38	287.90	287.90	Westerhold et al. 2017
208-1265B-26-3,56	236.260	270.95	Ties To	208-1263B-24-3,41	246.31	288.60	288.60	Westerhold et al. 2017
208-1265B-26-3,101	236.710	271.40	Ties To	208-1263B-24-3,91	246.81	289.10	289.10	Westerhold et al. 2017
208-1265B-26-4,6	237.260	271.95	Ties To	208-1263B-24-3,131	247.21	289.50	289.50	Westerhold et al. 2017
208-1265B-26-4,51	237.710	272.40	Ties To	208-1263B-24-4,22	247.62	289.91	289.91	Westerhold et al. 2017
208-1265B-26-4,96	238.160	272.85	Ties To	208-1263B-24-4,64	248.04	290.33	290.33	Westerhold et al. 2017
208-1265B-26-5,33	239.030	273.71	Ties To	208-1263B-24-4,148	248.88	291.17	291.17	Westerhold et al. 2017
208-1265B-26-5,86	239.560	274.25	Ties To	208-1263B-24-5,46	249.36	291.65	291.65	Westerhold et al. 2017
208-1265B-26-6,11	240.310	275.00	Ties To	208-1263B-24-5,118	250.08	292.37	292.37	Westerhold et al. 2017
208-1265B-26-6,36	240.560	275.25	Ties To	208-1263B-24-5,148	250.38	292.67	292.67	Westerhold et al. 2017
208-1265B-26-6,67	240.870	275.56	Ties To	208-1263C-10-5,70	251.10	292.98	292.98	Westerhold et al. 2017
208-1265B-26-6,121	241.410	276.10	Ties To	208-1263C-10-5,126	251.66	293.54	293.54	Westerhold et al. 2017
208-1265A-26-2,140	240.400	276.75	Ties To	208-1263C-10-6,44	252.34	294.22	294.22	Westerhold et al. 2017
208-1265A-26-3,34	240.840	277.19	Ties To	208-1263C-10-6,84	252.74	294.62	294.62	Westerhold et al. 2017
208-1265A-26-3,57	241.070	277.42	Ties To	208-1263C-10-7,9	252.99	294.87	294.87	Westerhold et al. 2007
208-1265A-26-3,83	241.330	277.68	Ties To	208-1263C-10-7,24	253.14	295.02	295.02	Westerhold et al. 2017
208-1265A-26-3,107	241.570	277.92	Ties To	208-1263C-10-7,46	253.36	295.24	295.24	Westerhold et al. 2017
208-1265A-26-3,132	241.820	278.17	Ties To	208-1263C-10-7,70	253.60	295.48	295.48	Westerhold et al. 2017
208-1265A-26-4,60	242.600	278.95	Ties To	208-1263A-29-1,120	252.30	296.08	296.08	Westerhold et al. 2007
208-1265A-26-4,107	243.070	279.42	Ties To	208-1263A-29-2,10	252.70	296.48	296.48	Westerhold et al. 2007
208-1265A-26-4,138	243.380	279.73	Ties To	208-1263A-29-2,45	253.05	296.83	296.83	Westerhold et al. 2017
208-1265A-26-5,50	244.000	280.35	Ties To	208-1263A-29-2,107	253.67	297.45	297.45	Westerhold et al. 2007
208-1265A-26-5,124	244.740	281.09	Ties To	208-1263A-29-3,22	254.32	298.10	298.10	Westerhold et al. 2017
208-1265A-26-6,3	245.030	281.38	Ties To	208-1263A-29-3,54	254.64	298.42	298.42	Westerhold et al. 2017
208-1265B-27-3,2	245.220	282.18	Ties To	208-1263A-29-3,134	255.44	299.22	299.22	Westerhold et al. 2017
208-1265B-27-3,52	245.720	282.68	Ties To	208-1263A-29-4,32	255.92	299.70	299.70	Westerhold et al. 2007
208-1265B-27-3,90	246.100	283.06	Ties To	208-1263A-29-4,72	256.32	300.10	300.10	Westerhold et al. 2017
208-1265B-27-3,148	246.680	283.64	Ties To	208-1263A-29-4,120	256.80	300.58	300.58	Westerhold et al. 2007
208-1265B-27-4,60	247.300	284.26	Ties To	208-1263A-29-5,36	257.46	301.24	301.24	Westerhold et al. 2017
208-1265B-27-4,102	247.720	284.68	Ties To	208-1263A-29-5,76	257.86	301.64	301.64	Westerhold et al. 2017
208-1265B-27-4,148	248.180	285.14	Ties To	208-1263C-11-3,148	258.38	302.17	302.17	Westerhold et al. 2007
208-1265B-27-5,38	248.580	285.54	Ties To	208-1263C-11-4,38	258.78	302.57	302.57	Westerhold et al. 2007
208-1265B-27-5,80	249.000	285.96	Ties To	208-1263C-11-4,74	259.14	302.93	302.93	Westerhold et al. 2017
208-1265B-27-5,126	249.460	286.42	Ties To	208-1263C-11-4,112	259.52	303.31	303.31	Westerhold et al. 2017
208-1265B-27-6,77	250.470	287.43	Ties To	208-1263C-11-5,52	260.42	304.21	304.21	Westerhold et al. 2007
208-1265A-27-2,133	249.830	287.86	Ties To	208-1263C-11-5,90	260.80	304.59	304.59	Westerhold et al. 2017
208-1265A-27-3,65	250.650	288.68	Ties To	208-1263C-11-6,20	261.60	305.39	305.39	Westerhold et al. 2017
208-1265A-27-4,5	251.550	289.58	Ties To	208-1263C-11-6,115	262.55	306.34	306.34	Westerhold et al. 2007
208-1265A-27-4,45	251.950	289.98	Ties To	208-1263C-11-7,10	263.00	306.79	306.79	Westerhold et al. 2007
208-1265A-27-4,98	252.480	290.51	Ties To	208-1263A-30-1,85	261.45	307.24	307.24	Westerhold et al. 2007
208-1265A-27-5,5	253.050	291.08	Ties To	208-1263A-30-1,142	262.02	307.82	307.82	Westerhold et al. 2007
208-1265A-27-5,60	253.600	291.63	Ties To	208-1263A-30-2,50	262.60	308.39	308.39	Westerhold et al. 2007
208-1265A-27-5,108	254.080	292.11	Ties To	208-1263A-30-2,107	263.17	308.96	308.96	Westerhold et al. 2007
208-1265A-27-6,10	254.600	292.63	Ties To	208-1263A-30-3,17	263.77	309.57	309.57	Westerhold et al. 2007
208-1265A-27-6,148	255.980	294.01	Ties To	208-1263A-30-4,13	265.23	311.02	311.02	Westerhold et al. 2007
208-1265A-27-7,52	256.520	294.55	Ties To	208-1263A-30-4,65	265.75	311.54	311.54	Westerhold et al. 2007
208-1265A-28-1,7	256.570	296.02	Ties To	208-1263A-30-5,113	267.73	313.52	313.52	Westerhold et al. 2007
208-1265A-28-1,50	257.000	296.45	Ties To	208-1263A-30-6,10	268.20	313.99	313.99	Westerhold et al. 2007
208-1265A-28-1,108	257.580	297.03	Ties To	208-1263A-30-6,82	268.92	314.71	314.71	Westerhold et al. 2017
208-1265A-28-2,32	258.320	297.77	Ties To	208-1263A-30-7,7	269.67	315.46	315.46	Westerhold et al. 2007
208-1265A-28-3,32	259.820	299.27	Ties To	208-1263C-12-6,45	271.35	316.85	316.85	Westerhold et al. 2007
208-1265A-28-3,85	260.350	299.80	Ties To	208-1263C-12-6,95	271.85	317.35	317.35	Westerhold et al. 2007
208-1265A-28-3,132	260.820	300.27	Ties To	208-1263C-12-7,20	272.30	317.80	317.80	Westerhold et al. 2017
208-1265A-28-4,27	261.270	300.73	Ties To	208-1263C-12-7,60	272.70	318.20	318.20	Westerhold et al. 2007
208-1265A-28-4,74	261.740	301.19	Ties To	208-1263D-1-1,92	272.92	318.68	318.68	Westerhold et al. 2017
208-1265A-28-4,122	262.220	301.67	Ties To	208-1263D-1-1,145	273.45	319.21	319.21	Westerhold et al. 2007
208-1265A-28-5,12	262.620	302.07	Ties To	208-1263D-1-2,40	273.90	319.66	319.66	Westerhold et al. 2017
208-1265A-28-5,32	262.820	302.27	Ties To	208-1263D-1-2,66	274.16	319.92	319.92	Westerhold et al. 2017
208-1265A-28-5,78	263.280	302.73	Ties To	208-1263D-1-2,111	274.61	320.38	320.38	Westerhold et al. 2017
208-1265A-28-5,124	263.740	303.19	Ties To	208-1263B-27-1,34	271.44	320.72	320.72	Westerhold et al. 2017
208-1265A-28-6,10	264.100	303.55	Ties To	208-1263B-27-1,70	271.80	321.08	321.08	Westerhold et al. 2017
208-1265A-28-6,60	264.600	304.05	Ties To	208-1263B-27-1,112	272.22	321.50	321.50	Westerhold et al. 2017
208-1265A-28-6,107	265.070	304.52	Ties To	208-1263A-32-1,127	272.87	321.95	321.95	Westerhold et al. 2007
208-1265A-28-7,7	265.570	305.02	Ties To	208-1263A-32-2,40	273.50	322.58	322.58	Westerhold et al. 2007
208-1265A-28-7,65	266.150	305.60	Ties To	208-1263A-32-2,98	274.08	323.15	323.15	Westerhold et al. 2007
208-1265A-29-1,42	266.420	307.20	Ties To	208-1263A-32-4,38	276.48	325.56	325.56	Westerhold et al. 2007
208-1265A-29-2,58	267.460	308.24	Ties To	208-1263A-32-4,138	277.48	326.56	326.56	Röhl et al. 2007
208-1265A-29-2,100	267.880	308.66	Ties To	208-1263C-13-5,13	279.03	327.01	327.01	Röhl et al. 2007
208-1265A-29-3,3	268.410	309.19	Ties To	208-1263C-13-5,65	279.55	327.53	327.53	Röhl et al. 2007
208-1265A-29-3,69	269.070	309.85	Ties To	208-1263C-13-5,142	280.32	328.30	328.30	Röhl et al. 2007
208-1265A-29-3,128	269.660	310.44	Ties To	208-1263C-13-6,73	281.13	329.11	329.11	Röhl et al. 2007
208-1265A-29-4,15	270.030	310.81	Ties To	208-1263C-13-6,120	281.60	329.58	329.58	Röhl et al. 2007
208-1265A-29-4,63	270.510	311.29	Ties To	208-1263C-13-7,25	282.15	330.13	330.13	Röhl et al. 2007
208-1265A-29-4,110	270.980	311.76	Ties To	208-1263C-13-8,3	282.80	330.78	330.78	Röhl et al. 2007
208-1265A-29-5,148	272.860	313.64	Ties To	208-1263D-3-1,28	281.78	332.12	332.12	Röhl et al. 2007
208-1265A-29-6,55	273.430	314.21	Ties To	208-1263C-14-1,48	282.88	332.79	332.79	Röhl et al. 2007
208-1265A-29-6,100	273.880	314.66	Ties To	208-1263C-14-1,108	283.48	333.39	333.39	Röhl et al. 2007
208-1265A-29-6,148	274.360	315.14	Ties To	208-1263C-14-2,4	283.94	333.85	333.85	Röhl et al. 2007
208-1265A-29-7,29	274.670	315.45	Ties To	208-1263C-14-2,48	284.38	334.29	334.29	Röhl et al. 2007
208-1265A-29-7,43	274.810	315.59	Ties To	208-1263C-14-2,76	284.66	334.57	334.57	Röhl et al. 2007
208-1265A-29-7,56	274.940	315.72	Ties To	208-1263C-14-2,101	284.91	334.82	334.82	Röhl et al. 2007
208-1265A-29-7,64	275.020	315.80	Ties To	208-1263C-14-2,123	285.13	335.04	335.04	Röhl et al. 2007
208-1265A-29-7,69	275.070	315.85	Ties To	208-1263C-14-2,146	285.36	335.27	335.27	Röhl et al. 2007
208-1265A-29-7,115	275.530	316.31	Ties To	208-1263A-34-1,68	284.78	335.64	335.64	Röhl et al. 2007
208-1265A-29-8,13	276.010	316.79	Ties To	208-1263A-34-1,123	285.33	336.18	336.18	Westerhold et al. 2017
208-1265A-29-8,23	276.110	316.89	Ties To	208-1263A-34-1,140	285.50	336.36	336.36	Westerhold et al. 2017
