/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S19. Characteristic remanent magnetization for discrete samples from ODP Site 208-1263. PANGAEA, https://doi.org/10.1594/PANGAEA.917533, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.532950 * LONGITUDE: 2.779567
	DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00
	MINIMUM DEPTH, sediment/rock: 58.520 m * MAXIMUM DEPTH, sediment/rock: 134.780 m
Event(s):	208-1263 * LATITUDE: -28.532950 * LONGITUDE: 2.779567 * DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00 * ELEVATION: -2717.1 m * Penetration: 1261.5 m * Recovery: 709.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 93 cores; 777.9 m cored; 483.6 m drilled; 91.2 % recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Half (Half) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Declination [deg] (Decl) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Inclination [deg] (Incl) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Maximum angular deviation [deg] (MAD) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Laboratory (Lab) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	3735 data points
*/
Sample label	Half	Depth sed [m]	Depth comp r [rmcd]	Decl [deg]	Incl [deg]	MAD [deg]	Lab
208-1263B-4H-6,22	W	82.210	93.160000	0.47	-45.60	2.35	INGV
208-1263B-4H-6,42	W	82.410	93.363000	2.89	0.02	0.91	INGV
208-1263B-4H-6,46	W	82.450	93.416000	355.11	7.52	2.83	INGV
208-1263B-5H-1,82	A	84.810	98.553000	8.80	30.08	1.41	INGV
208-1263B-5H-1,102	A	85.010	98.758000	12.53	26.42	1.12	INGV
208-1263B-5H-1,116	W	85.150	98.900000	355.44	33.57	1.36	INGV
208-1263B-5H-1,121	A	85.200	98.951000	13.72	26.31	2.88	INGV
208-1263B-5H-2,8	A	85.400	99.154000	357.17	18.64	1.17	INGV
208-1263B-5H-2,28	A	85.600	99.357000	0.00	24.41	0.94	INGV
208-1263B-5H-2,34	W	85.660	99.417000	353.00	29.86	2.37	INGV
208-1263B-5H-2,46	A	85.780	99.539000	7.36	15.45	1.45	INGV
208-1263B-5H-2,68	A	86.000	99.762000	353.82	4.57	1.26	INGV
208-1263B-5H-2,84	W	86.160	99.925000	5.36	43.40	2.21	INGV
208-1263B-5H-2,88	A	86.200	99.965000	355.50	6.51	1.42	INGV
208-1263B-5H-2,108	A	86.400	100.167000	346.33	19.38	1.46	INGV
208-1263B-5H-2,128	A	86.600	100.371000	353.26	23.89	1.27	INGV
208-1263B-5H-2,134	W	86.660	100.432000	2.96	44.66	1.16	INGV
208-1263B-5H-2,148	A	86.800	100.573000	357.66	13.54	1.81	INGV
208-1263B-5H-3,18	A	87.000	100.772000	356.46	2.92	0.95	INGV
208-1263B-5H-3,28	W	87.100	100.863000	342.26	52.13	1.60	INGV
208-1263B-5H-3,38	A	87.200	100.953000	343.51	2.59	0.86	INGV
208-1263B-5H-3,58	A	87.400	101.155000	356.87	20.37	0.85	INGV
208-1263B-5H-3,78	W	87.600	101.359000	356.80	61.53	2.44	INGV
208-1263B-5H-3,78	A	87.600	101.359000	177.55	2.40	2.20	INGV
208-1263B-5H-3,98	A	87.800	101.561000	5.01	0.13	0.95	INGV
208-1263B-5H-3,118	A	88.000	101.764000	6.96	14.06	0.98	INGV
208-1263B-5H-3,128	W	88.100	101.865000	336.62	29.42	1.08	INGV
208-1263B-5H-3,138	A	88.200	101.967000	353.87	18.84	1.47	INGV
208-1263B-5H-4,8	A	88.400	102.169000	352.11	20.93	1.11	INGV
208-1263B-5H-4,28	W	88.600	102.368000	3.70	40.08	0.81	INGV
208-1263B-5H-4,28	A	88.600	102.368000	352.93	19.20	1.65	INGV
208-1263B-5H-4,48	A	88.800	102.548000	351.57	12.64	1.11	INGV
208-1263B-5H-4,68	A	89.000	102.750000	160.30	0.46	2.21	INGV
208-1263B-5H-4,78	W	89.100	102.853000	13.34	16.47	1.50	INGV
208-1263B-5H-4,88	A	89.200	102.954000	167.27	0.04	2.38	INGV
208-1263B-5H-4,108	A	89.400	103.156000	356.29	1.37	0.81	INGV
208-1263B-5H-4,128	W	89.600	103.360000	314.91	38.06	1.14	INGV
208-1263B-5H-4,128	A	89.600	103.360000	0.88	9.90	1.44	INGV
208-1263B-5H-4,148	A	89.800	103.562000	1.00	-5.72	1.50	INGV
208-1263B-5H-5,18	A	90.000	103.765000	355.35	-2.48	0.70	INGV
208-1263B-5H-5,27	W	90.090	103.857000	4.53	16.70	1.22	INGV
208-1263B-5H-5,38	A	90.200	103.968000	359.17	-37.83	0.89	INGV
208-1263B-5H-5,58	A	90.400	104.168000	357.53	2.13	0.82	INGV
208-1263B-5H-5,78	A	90.600	104.351000	358.30	-24.32	0.90	INGV
208-1263B-5H-5,81	W	90.630	104.381000	4.17	21.94	2.14	INGV
208-1263B-5H-5,98	A	90.800	104.553000	353.56	-16.69	1.35	INGV
208-1263B-5H-5,118	A	91.000	104.756000	350.68	-14.95	0.94	INGV
208-1263B-5H-5,131	W	91.130	104.888000	6.09	3.41	1.60	INGV
208-1263B-5H-5,138	A	91.200	104.959000	348.43	-3.49	0.84	INGV
208-1263B-5H-6,8	A	91.400	105.162000	357.26	-24.83	0.79	INGV
208-1263B-5H-6,28	A	91.600	105.364000	345.25	-14.45	1.08	INGV
208-1263B-5H-6,29	W	91.610	105.375000	355.83	-11.12	1.16	INGV
208-1263B-5H-6,48	A	91.800	105.567000	347.25	-11.95	2.35	INGV
208-1263B-5H-6,68	A	92.000	105.770000	346.50	7.36	3.26	INGV
208-1263B-5H-6,84	W	92.160	105.932000	17.64	-27.54	1.49	INGV
208-1263B-5H-6,88	A	92.200	105.973000	350.88	-15.24	0.83	INGV
208-1263B-5H-6,108	A	92.400	106.176000	348.44	-20.12	0.80	INGV
208-1263B-5H-7,8	A	92.600	106.384000	57.19	-34.22	1.54	INGV
208-1263B-5H-7,14	W	92.660	106.448000	0.16	-3.11	2.28	INGV
208-1263B-6H-1,143	W	94.920	109.825000	225.59	-54.90	1.27	INGV
208-1263B-6H-2,13	W	95.120	109.913000	196.60	-83.90	2.14	INGV
208-1263B-6H-2,33	W	95.320	110.086000	124.21	-54.41	1.43	INGV
208-1263B-6H-2,43	W	95.420	110.186000	0.11	18.92	2.27	INGV
208-1263B-6H-2,53	W	95.520	110.289000	177.38	22.63	0.81	INGV
208-1263B-6H-2,73	W	95.720	110.492000	195.05	-36.49	2.08	INGV
208-1263B-6H-2,91	W	95.900	110.674000	114.21	-46.30	1.47	INGV
208-1263B-6H-2,94	W	95.930	110.705000	12.02	-4.61	3.23	INGV
208-1263B-6H-2,113	W	96.120	110.897000	289.46	-75.62	0.75	INGV
208-1263B-6H-2,133	W	96.320	111.088000	81.39	-76.50	1.06	INGV
208-1263B-6H-2,143	W	96.420	111.179000	2.88	-3.60	5.39	INGV
208-1263B-6H-3,4	W	96.530	111.289000	12.02	-78.33	4.20	INGV
208-1263B-6H-3,25	W	96.740	111.503000	315.39	73.68	0.71	INGV
208-1263B-6H-3,44	W	96.930	111.695000	353.86	5.17	2.75	INGV
208-1263B-6H-3,47	W	96.960	111.726000	345.62	80.37	2.49	INGV
208-1263B-6H-3,63	W	97.120	111.888000	52.36	78.07	1.66	INGV
208-1263B-6H-3,84	W	97.330	112.101000	117.45	83.87	1.31	INGV
208-1263B-6H-3,94	W	97.430	112.202000	9.03	39.96	2.13	INGV
208-1263B-6H-3,103	W	97.520	112.294000	299.26	77.57	1.23	INGV
208-1263B-6H-3,123	W	97.720	112.497000	3.23	55.63	1.24	INGV
208-1263B-6H-3,141	W	97.900	112.679000	9.62	35.72	0.84	INGV
208-1263B-6H-3,144	W	97.930	112.709000	49.79	-12.18	3.17	INGV
208-1263B-6H-4,13	W	98.120	112.899000	115.49	30.55	0.87	INGV
208-1263B-6H-4,33	W	98.320	113.079000	332.91	37.78	1.26	INGV
208-1263B-6H-4,44	W	98.430	113.190000	353.65	-11.41	3.85	INGV
208-1263B-6H-4,53	W	98.520	113.280000	313.74	48.57	0.72	INGV
208-1263B-6H-4,73	W	98.720	113.484000	319.43	-51.78	1.52	INGV
208-1263B-6H-4,89	W	98.880	113.646000	356.10	-24.22	1.81	INGV
208-1263B-6H-4,93	W	98.920	113.686000	16.65	-41.91	1.90	INGV
208-1263B-6H-4,113	W	99.120	113.889000	330.14	-68.52	1.19	INGV
208-1263B-6H-4,132	W	99.310	114.082000	351.18	-12.96	0.90	INGV
208-1263B-6H-4,144	W	99.430	114.204000	351.85	-71.96	2.33	INGV
208-1263B-6H-5,3	W	99.520	114.295000	357.73	-12.26	1.18	INGV
208-1263B-6H-5,23	W	99.720	114.494000	334.23	-29.61	0.89	INGV
208-1263B-6H-5,44	W	99.930	114.684000	355.52	-21.35	1.31	INGV
208-1263B-6H-5,47	W	99.960	114.715000	11.05	-4.86	0.71	INGV
208-1263B-6H-5,63	W	100.120	114.877000	12.60	-18.48	1.08	INGV
208-1263B-6H-5,83	W	100.320	115.080000	6.01	-11.06	0.99	INGV
208-1263B-6H-5,94	W	100.430	115.191000	357.41	-30.53	3.04	INGV
208-1263B-6H-5,103	W	100.520	115.283000	354.71	-1.74	0.75	INGV
208-1263B-6H-5,123	W	100.720	115.486000	8.45	-12.67	0.80	INGV
208-1263B-6H-5,143	W	100.920	115.688000	9.75	-20.83	1.64	INGV
208-1263B-6H-6,13	W	101.120	115.891000	40.74	-49.59	1.15	INGV
208-1263B-6H-6,33	W	101.320	116.094000	10.63	-72.14	1.07	INGV
208-1263B-6H-6,53	W	101.520	116.297000	45.96	-43.51	1.35	INGV
208-1263B-6H-6,73	W	101.720	116.500000	36.56	-50.99	1.38	INGV
208-1263B-6H-6,93	W	101.920	116.703000	310.19	58.79	0.92	INGV
208-1263B-6H-6,113	W	102.120	116.892000	337.17	64.04	1.15	INGV
208-1263B-6H-6,133	W	102.320	117.074000	322.94	64.75	0.80	INGV
208-1263B-7H-1,143	W	104.420	124.750000	8.37	-19.15	0.80	INGV
208-1263B-7H-2,13	W	104.620	125.057000	352.84	-39.94	0.70	INGV
208-1263B-7H-2,33	W	104.820	125.252000	7.29	-18.01	0.94	INGV
208-1263B-7H-2,53	W	105.020	125.393000	353.84	-34.93	0.87	INGV
208-1263B-7H-2,73	W	105.220	125.542000	3.59	-26.32	0.85	INGV
208-1263B-7H-2,93	W	105.420	125.625000	354.64	-21.44	1.15	INGV
208-1263B-7H-2,113	W	105.620	125.702000	3.44	-17.93	0.67	INGV
208-1263B-7H-2,133	W	105.820	125.764000	5.51	-27.25	0.91	INGV
208-1263B-7H-3,3	W	106.020	126.037000	6.03	-22.01	0.73	INGV
208-1263B-7H-3,23	W	106.220	126.337000	356.77	-29.96	0.78	INGV
208-1263B-7H-3,43	W	106.420	126.608000	11.86	-24.13	0.71	INGV
208-1263B-7H-3,63	W	106.620	126.812000	342.17	-44.40	1.02	INGV
208-1263B-7H-3,84	W	106.830	127.024000	3.37	-17.28	0.73	INGV
208-1263B-7H-3,103	W	107.020	127.217000	14.00	-31.08	1.64	INGV
208-1263B-7H-3,123	W	107.220	127.420000	10.63	-38.87	2.72	INGV
208-1263B-7H-3,143	W	107.420	127.623000	7.63	-35.89	2.16	INGV
208-1263B-7H-4,13	W	107.620	127.826000	6.24	-21.41	1.42	INGV
208-1263B-7H-4,33	W	107.820	128.028000	11.37	-21.17	1.50	INGV
208-1263B-7H-4,53	W	108.020	128.231000	5.69	-33.44	2.78	INGV
208-1263B-7H-4,73	W	108.220	128.415000	12.07	-29.95	1.67	INGV
208-1263B-7H-4,93	W	108.420	128.618000	3.03	-21.64	1.53	INGV
208-1263B-7H-4,111	W	108.600	128.800000	357.13	-21.25	1.13	INGV
208-1263B-7H-4,133	W	108.820	129.023000	350.13	-55.66	1.25	INGV
208-1263B-7H-5,3	W	109.020	129.226000	27.43	-23.39	2.05	INGV
208-1263B-7H-5,23	W	109.220	129.429000	39.74	-67.97	1.49	INGV
208-1263B-7H-5,43	W	109.420	129.628000	71.22	-63.71	1.49	INGV
208-1263B-7H-5,63	W	109.620	129.808000	335.28	-66.49	0.91	INGV
208-1263B-7H-5,83	W	109.820	130.010000	341.87	-47.89	2.89	INGV
208-1263B-7H-5,103	W	110.020	130.213000	358.58	3.63	5.10	INGV
208-1263B-7H-5,123	W	110.220	130.416000	356.08	-31.92	4.00	INGV
208-1263B-7H-5,143	W	110.420	130.619000	56.96	-66.51	1.66	INGV
208-1263B-7H-6,13	W	111.020	131.223000	62.31	-48.51	3.15	INGV
208-1263B-7H-6,33	W	111.220	131.415000	25.67	-40.80	2.32	INGV
208-1263B-7H-6,53	W	111.420	131.618000	57.73	-54.75	1.22	INGV
208-1263B-7H-6,73	W	111.620	131.820000	103.52	-66.77	1.26	INGV
208-1263B-7H-6,93	W	111.820	132.023000	38.81	-57.61	0.98	INGV
208-1263B-7H-6,113	W	112.020	132.228000	79.00	-65.87	1.47	INGV
208-1263B-7H-6,133	W	112.220	132.428000	38.16	-47.96	0.87	INGV
208-1263B-8H-1,51	A	113.000	134.364000	-22.10	-25.90	9.50	INGV
208-1263B-8H-1,53	A	113.020	134.385000	-35.40	-18.20	2.90	INGV
208-1263B-8H-1,143	A	113.920	135.484000	330.13	-27.24	2.20	INGV
208-1263B-8H-2,13	A	114.120	135.693000	354.65	5.11	1.22	INGV
208-1263B-8H-2,33	A	114.320	135.896000	8.42	-10.67	1.69	INGV
208-1263B-8H-2,49	A	114.480	136.058000	175.16	0.62	1.50	INGV
208-1263B-8H-2,53	A	114.520	136.099000	14.60	35.30	5.60	INGV
208-1263B-8H-2,55	A	114.540	136.118000	5.80	-10.70	3.40	INGV
208-1263B-8H-2,73	A	114.720	136.301000	24.89	26.51	1.52	INGV
208-1263B-8H-2,93	A	114.920	136.503000	1.21	12.44	1.47	INGV
208-1263B-8H-2,113	A	115.120	136.707000	337.56	30.60	0.93	INGV
208-1263B-8H-2,133	A	115.320	136.909000	359.05	15.24	0.66	INGV
208-1263B-8H-3,3	A	115.520	137.110000	347.09	-8.32	1.57	INGV
208-1263B-8H-3,23	A	115.720	137.292000	354.22	1.70	0.66	INGV
208-1263B-8H-3,43	A	115.920	137.496000	342.70	-24.01	1.21	INGV
208-1263B-8H-3,51	A	116.000	137.576000	-32.00	-18.80	7.00	INGV
208-1263B-8H-3,53	A	116.020	137.596000	-16.10	-23.20	1.30	INGV
208-1263B-8H-3,63	A	116.120	137.698000	353.88	-20.59	1.32	INGV
208-1263B-8H-3,83	A	116.320	137.901000	349.64	-1.69	0.76	INGV
208-1263B-8H-3,103	A	116.520	138.104000	344.71	-8.34	0.82	INGV
208-1263B-8H-3,123	A	116.720	138.306000	351.58	-1.31	0.97	INGV
208-1263B-8H-3,143	A	116.920	138.495000	350.13	12.04	1.23	INGV
208-1263B-8H-4,13	A	117.120	138.694000	333.14	-2.94	0.88	INGV
208-1263B-8H-4,33	A	117.320	138.896000	332.26	-26.17	1.80	INGV
208-1263B-8H-4,49	A	117.480	139.059000	324.14	-21.16	1.96	INGV
208-1263B-8H-4,51	A	117.500	139.079000	336.80	-46.60	2.30	INGV
208-1263B-8H-4,53	A	117.520	139.099000	-41.80	-31.20	3.10	INGV
208-1263B-8H-4,73	A	117.720	139.323000	7.48	9.10	0.72	INGV
208-1263B-8H-5,51	A	119.000	140.800000	351.90	-49.20	2.40	INGV
208-1263B-8H-5,53	A	119.020	140.820000	0.80	-27.00	2.00	INGV
208-1263B-8H-6,53	W	120.520	142.062000	-29.60	-29.70	3.70	INGV
208-1263B-8H-7,51	W	122.000	143.570000	54.30	72.00	6.90	INGV
208-1263B-8H-7,53	W	122.020	143.594000	9.60	68.60	2.50	INGV
208-1263B-9H-1,51	A	122.500	145.731000	4.60	10.70	2.60	INGV
208-1263B-9H-1,53	A	122.520	145.751000	357.10	34.20	2.60	INGV
208-1263B-9H-2,51	A	124.000	147.229000	-45.50	52.50	2.00	INGV
208-1263B-9H-2,53	A	124.020	147.249000	296.60	38.00	2.60	INGV
208-1263B-9H-3,51	A	125.500	148.731000	-21.20	35.90	2.60	INGV
208-1263B-9H-3,53	A	125.520	148.751000	-14.50	-8.20	3.00	INGV
208-1263B-9H-4,51	A	127.000	150.225000	-11.00	41.70	9.50	INGV
208-1263B-9H-4,53	A	127.020	150.245000	-6.70	-13.20	1.90	INGV
208-1263B-9H-5,51	A	128.500	151.873000	159.20	-61.40	2.90	INGV
208-1263B-9H-5,53	A	128.520	151.894000	220.40	-50.80	5.70	INGV
208-1263B-9H-6,46	W	129.950	153.210000	79.20	68.70	3.60	INGV
208-1263B-9H-7,50	W	131.490	154.657000	12.70	73.30	4.10	INGV
208-1263C-1H-4,3	W	94.520	106.742000	14.90	-29.27	1.49	INGV
208-1263C-1H-4,16	W	94.650	106.862000	12.61	-14.62	2.05	INGV
208-1263C-1H-4,23	W	94.720	106.926000	29.06	-61.54	0.96	INGV
208-1263C-1H-4,43	W	94.920	107.151000	26.06	-62.98	1.02	INGV
208-1263C-1H-4,63	W	95.120	107.366000	30.14	-10.43	1.18	INGV
208-1263C-1H-4,66	W	95.150	107.395000	23.63	22.65	2.20	INGV
208-1263C-1H-4,83	W	95.320	107.551000	113.53	28.65	3.92	INGV
208-1263C-1H-4,103	W	95.520	107.740000	64.54	50.53	1.40	INGV
208-1263C-1H-4,117	W	95.660	107.902000	18.19	22.36	2.78	INGV
208-1263C-1H-4,123	W	95.720	107.970000	51.57	-29.44	2.03	INGV
208-1263C-1H-4,143	W	95.920	108.173000	46.49	-49.74	2.42	INGV
208-1263C-1H-5,11	W	96.100	108.338000	11.53	-7.20	1.90	INGV
208-1263C-1H-5,14	W	96.130	108.366000	25.31	23.62	4.18	INGV
208-1263C-1H-5,33	W	96.320	108.541000	347.69	-75.40	1.77	INGV
208-1263C-1H-5,53	W	96.520	108.756000	328.21	-59.17	2.17	INGV
208-1263C-1H-5,66	W	96.650	108.895000	17.49	19.77	3.77	INGV
208-1263C-1H-5,73	W	96.720	108.959000	34.79	-19.80	2.54	INGV
208-1263C-1H-5,93	W	96.920	109.144000	169.96	70.55	3.44	INGV
208-1263C-1H-5,111	W	97.100	109.311000	4.55	11.71	0.88	INGV
208-1263C-1H-5,114	W	97.130	109.346000	29.85	56.07	2.70	INGV
208-1263C-1H-5,133	W	97.320	109.563000	146.76	72.09	6.06	INGV
208-1263C-1H-6,3	W	97.520	109.742000	9.23	22.52	1.83	INGV
208-1263C-1H-6,16	W	97.650	109.867000	31.93	15.34	4.73	INGV
208-1263C-1H-6,23	W	97.720	109.937000	41.44	23.20	4.11	INGV
208-1263C-2H-1,63	W	100.120	117.093000	21.56	69.01	1.73	INGV
208-1263C-2H-1,83	W	100.320	117.323000	32.67	40.88	1.69	INGV
208-1263C-2H-1,103	W	100.520	117.549000	353.65	19.69	5.04	INGV
208-1263C-2H-1,123	W	100.720	117.733000	349.73	24.12	2.17	INGV
208-1263C-2H-1,143	W	100.940	117.936000	1.86	18.72	3.13	INGV
208-1263C-2H-2,13	W	101.120	118.135000	172.64	-6.95	4.97	INGV
208-1263C-2H-2,33	W	101.320	118.326000	337.18	-5.29	2.57	INGV
208-1263C-2H-2,49	W	101.480	118.473000	356.34	-16.50	1.48	INGV
208-1263C-2H-2,53	W	101.520	118.509000	333.11	3.55	3.38	INGV
208-1263C-2H-2,73	W	101.720	118.728000	334.21	-72.47	1.30	INGV
208-1263C-2H-2,93	W	101.920	118.930000	344.75	21.78	1.73	INGV
208-1263C-2H-2,99	W	101.980	118.985000	358.20	-39.81	1.18	INGV
208-1263C-2H-2,113	W	102.120	119.114000	325.01	40.35	1.30	INGV
208-1263C-2H-2,133	W	102.320	119.333000	173.71	6.44	1.09	INGV
208-1263C-2H-2,144	W	102.430	119.460000	3.42	31.95	2.05	INGV
208-1263C-2H-3,3	W	102.520	119.547000	158.49	72.09	2.05	INGV
208-1263C-2H-3,23	W	102.720	119.730000	149.80	70.60	3.28	INGV
208-1263C-2H-3,43	W	102.920	119.920000	54.74	83.03	1.64	INGV
208-1263C-2H-3,49	W	102.980	119.989000	349.12	-36.17	1.88	INGV
208-1263C-2H-3,63	W	103.120	120.150000	341.65	-13.11	3.41	INGV
208-1263C-2H-3,83	W	103.320	120.335000	338.21	-76.78	2.09	INGV
208-1263C-2H-3,98	W	103.470	120.473000	345.46	-37.68	1.87	INGV
208-1263C-2H-3,103	W	103.520	120.519000	9.59	-70.98	1.26	INGV
208-1263C-2H-3,123	W	103.720	120.703000	4.22	-50.92	1.26	INGV
208-1263C-2H-3,141	W	103.900	120.908000	0.88	-33.78	0.90	INGV
208-1263C-2H-3,144	W	103.930	120.943000	346.34	-30.37	2.63	INGV
208-1263C-2H-4,13	W	104.120	121.156000	336.36	-61.29	1.05	INGV
208-1263C-2H-4,33	W	104.320	121.340000	0.13	-67.29	1.09	INGV
208-1263C-2H-4,49	W	104.480	121.486000	0.26	-61.55	1.38	INGV
208-1263C-2H-4,53	W	104.520	121.524000	351.99	-56.01	1.69	INGV
208-1263C-2H-4,73	W	104.720	121.736000	350.30	-64.74	2.71	INGV
208-1263C-2H-4,93	W	104.920	121.939000	299.67	53.39	1.87	INGV
208-1263C-2H-4,99	W	104.980	121.994000	37.11	70.94	4.50	INGV
208-1263C-2H-4,113	W	105.120	122.123000	308.84	51.70	1.55	INGV
208-1263C-2H-4,133	W	105.320	122.325000	356.69	5.44	1.49	INGV
208-1263C-2H-5,3	W	105.520	122.544000	341.52	19.05	1.75	INGV
208-1263C-2H-5,23	W	105.720	122.728000	341.86	28.76	2.27	INGV
208-1263C-2H-5,43	W	105.920	122.916000	333.92	27.41	2.09	INGV
208-1263C-2H-5,63	W	106.120	123.145000	307.83	48.20	2.75	INGV
208-1263C-2H-5,83	W	106.320	123.333000	328.85	41.19	1.41	INGV
208-1263C-2H-5,103	W	106.520	123.517000	337.80	23.78	1.22	INGV
208-1263C-2H-5,123	W	106.720	123.709000	326.16	-14.62	1.54	INGV
208-1263C-2H-5,143	W	106.920	123.938000	322.03	-17.03	2.56	INGV
208-1263C-2H-6,13	W	107.120	124.137000	358.96	3.32	2.87	INGV
208-1263C-3H-1,133	W	109.400	130.672000	21.77	-52.99	0.87	INGV
208-1263C-3H-2,13	W	110.620	132.113000	304.88	-68.27	2.16	INGV
208-1263C-3H-2,33	W	110.820	132.301000	303.37	-52.99	1.44	INGV
208-1263C-3H-2,53	W	111.020	132.515000	263.63	-72.06	5.86	INGV
208-1263C-3H-2,73	W	111.220	132.707000	340.20	-62.80	2.35	INGV
208-1263C-3H-2,93	W	111.420	132.905000	290.57	-77.34	2.62	INGV
208-1263C-3H-2,113	W	111.620	133.106000	267.25	-48.82	4.78	INGV
208-1263C-3H-2,133	W	111.820	133.310000	303.29	-65.84	4.23	INGV
208-1263C-3H-3,3	W	112.020	133.500000	222.23	-54.25	1.47	INGV
208-1263C-3H-3,23	W	112.220	133.722000	258.99	-65.59	2.02	INGV
208-1263C-3H-3,43	W	112.420	133.907000	269.59	-69.70	1.35	INGV
208-1263C-3H-3,63	W	112.620	134.091000	254.99	-64.41	1.67	INGV
208-1263C-3H-3,83	W	112.820	134.320000	292.45	-63.00	1.32	INGV
208-1263C-3H-3,103	W	113.020	134.515000	245.87	-62.64	1.32	INGV
208-1263C-3H-3,123	W	113.220	134.699000	265.35	-52.78	1.58	INGV
208-1263C-3H-3,143	W	113.420	134.922000	295.79	-55.95	0.84	INGV
208-1263C-3H-4,13	W	113.620	135.117000	282.57	-65.80	1.67	INGV
208-1263C-3H-4,33	W	113.820	135.301000	284.96	-66.39	1.54	INGV
208-1263C-3H-4,53	W	114.020	135.519000	257.18	-46.49	3.21	INGV
