/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S14. Mapping pairs for ODP Site 208-1263 to correlate intervals outside the splice to the splice. PANGAEA, https://doi.org/10.1594/PANGAEA.917520, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.532950 * LONGITUDE: 2.779567
	DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00
	MINIMUM ELEVATION: -2717.1 m * MAXIMUM ELEVATION: -2717.1 m
Event(s):	208-1263 * LATITUDE: -28.532950 * LONGITUDE: 2.779567 * DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00 * ELEVATION: -2717.1 m * Penetration: 1261.5 m * Recovery: 709.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 93 cores; 777.9 m cored; 483.6 m drilled; 91.2 % recovery
Comment:	W2015 = Westerhold et al. 2015, W2017 = Westerhold et al. 2017.
	printed version: bold indicate change with respect to Westerhold et al. 2015, 2017.
	#-999.99 =no adjustment
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: outside splice
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: of splice
	Identification (ID) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: outside splice
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: of splice
	Identification (ID) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: outside splice
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: of splice
	Identification (ID) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	3510 data points
*/
Sample label	Depth comp [mcd] (outside splice)	Depth comp [mcd] (of splice)	ID	Reference	Sample label	Depth comp [mcd] (outside splice)	Depth comp [mcd] (of splice)	ID	Reference	Sample label	Depth comp [mcd] (outside splice)	Depth comp [mcd] (of splice)	ID	Reference
1263A-19H	201.27	201.19	corr	W2017	1263B-14H	208.24	207.99	corr	W2017	1263C-13H	325.19	325.25	corr	W2015
1263A-19H	201.55	201.42	corr	W2017						1263C-13H	326.98	326.98	splice	W2015
1263A-19H	202.31	202.18	corr	W2017	1263B-15H	207.85	208.17	corr	W2017	1263C-13H	330.77	330.77	splice	W2015
					1263B-15H	207.88	208.20	corr	W2015	1263C-13H	330.96	330.95	corr	W2017
1263A-20H	204.66	204.69	corr	W2017	1263B-15H	208.90	209.00	corr	W2015					
1263A-20H	204.88	204.89	corr	W2015	1263B-15H	210.43	210.41	corr	W2015	1263C-14H	332.74	332.74	splice	W2015
1263A-20H	205.24	205.27	corr	W2015	1263B-15H	211.37	211.37	splice	W2015	1263C-14H	335.30	335.30	splice	W2015
1263A-20H	205.65	205.61	corr	W2015	1263B-15H	216.90	216.90	splice	W2015	1263C-14H	335.47	335.50	corr	W2015
1263A-20H	206.04	206.07	corr	W2015	1263B-15H	217.59	217.48	corr	W2017					
1263A-20H	206.56	206.56	splice	W2015	1263B-15H	217.69	217.58	corr	W2017	1263C-15H	335.51	335.51	no tie	W2017
1263A-20H	211.37	211.37	splice	W2015						1263C-15H	335.66	335.66	no tie	W2015
1263A-20H	211.70	211.71	corr	W2015	1263B-16H	219.63	219.62	corr	W2017					
1263A-20H	211.87	211.91	corr	W2017	1263B-16H	219.95	219.95	corr	W2017	1263C-16X	336.78	336.75	corr	W2017
1263A-20H	212.13	212.21	corr	W2017	1263B-16H	220.61	220.61	splice	W2015	1263C-16X	337.06	337.03	corr	W2017
1263A-20H	212.62	212.71	corr	W2017	1263B-16H	229.22	229.22	splice	W2015	1263C-16X	337.92	337.92	splice	W2015
1263A-20H	212.79	212.95	corr	W2017						1263C-16X	339.88	339.88	splice	W2015
1263A-20H	213.26	213.36	corr	W2017	1263B-18H	227.83	228.27	uncertain	disturbed	1263C-16X	340.13	340.13	corr	W2017
					1263B-18H	228.19	228.63	uncertain	disturbed					
1263A-21H	216.63	216.63	corr	W2017	1263B-18H	231.56	232.00	uncertain	disturbed					
1263A-21H	216.90	216.90	splice	W2015										
1263A-21H	220.61	220.61	splice	W2015	1263B-19H	233.60	233.60	splice	W2015	1263D-1H	317.76	317.76	corr	W2017
1263A-21H	221.75	222.11	corr	W2017	1263B-19H	236.68	236.68	splice	W2015	1263D-1H	318.59	318.59	splice	W2015
1263A-21H	222.87	223.01	corr	W2017	1263B-19H	237.18	237.02	corr	W2015	1263D-1H	320.41	320.41	splice	W2015
1263A-21H	223.94	224.07	corr	W2017	1263B-19H	237.44	237.27	corr	W2017	1263D-1H	321.01	321.01	corr	W2017
1263A-21H	225.49	225.50	corr	W2017										
1263A-21H	225.83	225.83	corr	W2017	1263B-20H	238.61	238.63	corr	W2017	1263D-2H	323.00	323.00	corr	W2017
1263A-21H	226.23	226.23	corr	W2017	1263B-20H	238.79	238.81	corr	W2015	1263D-2H	324.00	324.00	corr	W2015
					1263B-20H	239.08	239.13	corr	W2015	1263D-2H	325.26	325.24	corr	W2015
1263A-22H	224.16	225.89	corr	W2017	1263B-20H	239.31	239.31	splice	W2015	1263D-2H	326.72	326.60	corr	W2015
1263A-22H	224.71	226.43	corr	W2017	1263B-20H	247.93	247.93	splice	W2015	1263D-2H	327.68	327.68	corr	W2015
1263A-22H	225.13	227.12	corr	W2017	1263B-20H	248.50	248.64	corr	W2017	1263D-2H	329.90	329.94	corr	W2015
1263A-22H	225.67	227.66	corr	W2017						1263D-2H	330.38	330.38	corr	W2017
1263A-22H	226.42	228.67	corr	W2017	1263B-21H	250.32	250.39	corr	W2017					
1263A-22H	232.96	233.75	corr	W2017	1263B-21H	250.43	250.51	corr	W2015	1263D-3H	331.85	331.85	splice	W2015
1263A-22H	233.28	233.54	corr	W2017	1263B-21H	250.79	250.89	corr	W2015	1263D-3H	332.74	332.74	splice	W2015
					1263B-21H	251.90	251.90	splice	W2015	1263D-3H	333.44	333.37	corr	W2015
1263A-23H	234.35	234.45	corr	W2017	1263B-21H	257.34	257.34	splice	disturbed below	1263D-3H	334.32	334.23	corr	W2015
1263A-23H	234.59	234.69	corr	W2017						1263D-3H	334.41	334.39	corr	W2015
1263A-23H	235.01	234.85	corr	W2017	1263B-22H	262.32	262.10	corr	W2015	1263D-3H	334.47	334.52	corr	W2015
1263A-23H	235.39	235.26	corr	W2015	1263B-22H	262.94	262.89	corr	W2015	1263D-3H	334.51	334.64	corr	W2015
1263A-23H	236.02	235.86	corr	W2015	1263B-22H	263.65	263.65	splice	W2015	1263D-3H	334.57	334.69	corr	W2017
1263A-23H	236.68	236.68	splice	W2015	1263B-22H	271.88	271.88	splice	W2015	1263D-3H	334.67	334.79	corr	W2017
1263A-23H	239.31	239.31	splice	W2015	1263B-22H	272.12	272.12	corr	W2017					
1263A-23H	240.05	239.93	corr	W2015						1263D-4H	334.60	334.52	corr	W2017
1263A-23H	240.66	240.55	corr	W2017	1263B-23H	273.87	273.86	corr	W2017	1263D-4H	334.73	334.66	corr	W2015
					1263B-23H	274.32	274.31	corr	W2017	1263D-4H	334.87	334.84	corr	W2015
1263A-24H	242.75	242.49	corr	W2017	1263B-23H	274.61	274.68	corr	W2015	1263D-4H	334.99	334.97	corr	W2015
1263A-24H	242.87	242.78	corr	W2017	1263B-23H	275.10	275.09	corr	W2015	1263D-4H	335.18	335.18	splice	W2015
1263A-24H	242.96	242.96	corr	W2017	1263B-23H	275.66	275.54	corr	W2015	1263D-4H	335.30	335.30	splice	W2015
1263A-24H	243.20	243.24	corr	W2017	1263B-23H	276.37	276.18	corr	W2015	1263D-4H	335.50	335.50	corr	W2015
1263A-24H	243.93	243.94	corr	W2017	1263B-23H	276.67	276.50	corr	W2015	1263D-4H	336.92	336.92	corr	W2017
1263A-24H	244.27	244.31	corr	W2017	1263B-23H	277.94	277.82	corr	W2015					
1263A-24H	244.50	244.56	corr	W2017	1263B-23H	279.49	279.27	corr	W2015					
1263A-24H	245.24	245.23	corr	W2015	1263B-23H	280.25	280.21	corr	W2015					
1263A-24H	245.97	245.89	corr	W2015	1263B-23H	280.87	280.88	corr	W2015					
1263A-24H	246.58	246.49	corr	W2015	1263B-23H	281.68	281.69	corr	W2015					
1263A-24H	247.08	246.99	corr	W2015	1263B-23H	282.97	282.97	corr	W2015					
1263A-24H	247.93	247.93	splice	W2015	1263B-23H	283.38	283.28	corr	W2015					
1263A-24H	251.90	251.90	splice	W2015	1263B-23H	283.84	283.73	corr	W2017					
1263A-24H	252.49	252.49	corr	W2017										
					1263B-24H	285.19	285.15	corr	W2017					
1263A-25H	253.45	254.80	corr	W2017	1263B-24H	285.35	285.30	corr	W2015					
1263A-25H	253.62	254.97	corr	W2017	1263B-24H	285.90	285.93	corr	W2015					
1263A-25H	253.94	255.29	corr	W2017	1263B-24H	287.20	287.32	corr	W2015					
1263A-25H	254.20	255.55	corr	W2017	1263B-24H	287.69	287.76	corr	W2015					
1263A-25H	254.89	257.51	corr	disturbed	1263B-24H	287.90	287.90	splice	W2015					
1263A-25H	256.14	258.75	corr	disturbed	1263B-24H	292.89	292.89	splice	W2015					
					1263B-24H	293.03	292.98	corr	W2015					
1263A-26H	259.45	259.45	corr	W2017	1263B-24H	293.53	293.44	corr	W2015					
1263A-26H	259.55	259.55	splice	W2015	1263B-24H	294.71	294.39	corr	W2015					
1263A-26H	263.65	263.65	splice	W2015	1263B-24H	294.96	294.63	corr	W2017					
1263A-26H	264.63	264.51	corr	W2015										
1263A-26H	265.89	265.61	corr	W2015	1263B-25H	295.43	295.47	corr	W2017					
1263A-26H	267.37	266.78	corr	W2015	1263B-25H	295.82	295.91	corr	W2015					
1263A-26H	268.64	267.70	corr	W2015	1263B-25H	296.71	296.81	corr	W2015					
1263A-26H	269.09	268.12	corr	W2017	1263B-25H	297.52	297.50	corr	W2015					
					1263B-25H	298.12	298.15	corr	W2015					
1263A-27H	272.13	272.13	splice	W2015	1263B-25H	299.48	299.53	corr	W2015					
1263A-27H	280.18	280.18	splice	W2015	1263B-25H	300.69	300.47	corr	disturbed below					
1263A-27H	280.35	280.23	corr	W2015	1263B-25H	304.38	304.34	corr	disturbed					
1263A-27H	281.08	280.88	corr	W2015	1263B-25H	304.93	304.89	corr	disturbed					
1263A-27H	281.43	281.20	corr	W2017										
					1263B-26X	306.10	306.30	corr	W2017					
1263A-28H	284.12	284.12	corr	W2017	1263B-26X	306.45	306.63	corr	above disturbed					
1263A-28H	284.34	284.34	splice	W2015	1263B-26X	306.76	306.86	corr	W2015					
1263A-28H	287.90	287.90	splice	W2015	1263B-26X	307.53	307.36	corr	W2015					
1263A-28H	288.83	288.89	corr	W2015	1263B-26X	308.22	307.83	corr	W2015					
1263A-28H	289.25	289.27	corr	W2015	1263B-26X	309.13	308.48	corr	W2015					
1263A-28H	289.90	289.91	corr	W2015	1263B-26X	309.72	308.98	corr	W2015					
1263A-28H	290.71	290.88	corr	W2015	1263B-26X	310.53	309.59	corr	W2015					
1263A-28H	291.32	291.56	corr	W2015	1263B-26X	311.29	310.15	corr	W2015					
1263A-28H	291.88	292.13	corr	W2015	1263B-26X	311.95	310.56	corr	W2015					
1263A-28H	292.73	292.98	corr	W2015	1263B-26X	312.71	311.06	corr	W2015					
1263A-28H	293.23	293.44	corr	W2017	1263B-26X	313.32	311.56	corr	W2015					
1263A-28H	293.55	293.75	corr	W2017	1263B-26X	314.20	312.11	corr	W2015					
1263A-28H	293.89	294.09	corr	W2017	1263B-26X	314.74	312.57	corr	W2015					
					1263B-26X	315.46	313.03	corr	W2015					
1263A-29H	294.88	294.81	corr	W2017	1263B-26X	313.37	315.75	corr	W2017					
1263A-29H	294.94	294.87	corr	W2015										
1263A-29H	295.14	295.03	corr	W2015	1263B-27X	320.38	320.38	corr	W2017					
1263A-29H	295.37	295.29	corr	W2015	1263B-27X	320.41	320.41	splice	W2015					
1263A-29H	295.62	295.67	corr	W2015	1263B-27X	321.83	321.83	splice	W2015					
1263A-29H	296.00	296.00	splice	W2015	1263B-27X	322.48	322.29	corr	W2015					
1263A-29H	302.08	302.08	splice	W2015	1263B-27X	323.53	323.13	corr	W2015					
1263A-29H	302.56	302.45	corr	W2015	1263B-27X	325.46	324.62	corr	W2015					
1263A-29H	303.42	303.27	corr	W2015	1263B-27X	326.30	325.24	corr	W2015					
1263A-29H	304.32	304.33	corr	W2015	1263B-27X	327.31	325.98	corr	W2015					
1263A-29H	304.57	304.58	corr	W2017	1263B-27X	328.35	326.99	corr	W2015					
					1263B-27X	328.79	327.67	corr	W2015					
1263A-30H	306.39	306.39	corr	W2017	1263B-27X	329.88	328.73	corr	W2017					
1263A-30H	306.65	306.66	corr	W2017										
1263A-30H	307.14	307.14	splice	W2015	1263B-28X	331.28	331.89	corr	very uncertain					
1263A-30H	315.71	315.71	splice	W2015	1263B-28X	331.46	332.07	corr	very uncertain					
1263A-30H	316.28	316.28	corr	W2017	1263B-28X	332.22	332.68	corr	very uncertain					
					1263B-28X	333.08	333.31	corr	very uncertain					
1263A-31H	316.58	316.54	corr	W2017	1263B-28X	334.33	334.16	corr	very uncertain					
1263A-31H	316.71	316.66	corr	W2017	1263B-28X	334.51	334.32	corr	very uncertain					
1263A-31H	317.35	317.37	corr	W2017	1263B-28X	334.69	334.64	corr	very uncertain					
1263A-31H	317.83	317.86	corr	W2017	1263B-28X	334.86	334.81	corr	very uncertain					
1263A-31H	318.13	318.16	corr	W2017										
					1263B-29X	342.46	335.09	corr	very uncertain					
1263A-32H	320.61	320.68	corr	W2017	1263B-29X	342.66	335.30	corr	very uncertain					
1263A-32H	321.22	321.29	corr	W2017	1263B-29X	342.80	335.47	corr	very uncertain					
1263A-32H	321.60	321.61	corr	W2015	1263B-29X	343.08	335.79	corr	very uncertain					
1263A-32H	321.83	321.83	splice	W2015	1263B-29X	344.01	337.00	corr	very uncertain					
1263A-32H	326.98	326.98	splice	W2015	1263B-29X	344.86	338.22	corr	very uncertain					
1263A-32H	327.66	327.60	corr	W2017	1263B-29X	346.50	339.85	corr	very uncertain					
1263A-32H	329.38	329.30	corr	W2017										
1263A-32H	330.16	329.98	corr	W2015	1263B-30X	353.90	353.90	no tie	W2015					
1263A-32H	330.85	330.74	corr	W2017	1263B-30X	355.73	355.73	no tie	W2015					
1263A-33H	331.70	331.66	corr	W2017	1263B-31X	365.23	365.23	no tie	W2015					
1263A-33H	332.14	332.10	corr	W2015	1263B-31X	370.71	370.71	no tie	W2015					
1263A-33H	332.76	332.80	corr	W2015										
1263A-33H	332.92	333.00	corr	W2015	1263B-32X	376.56	376.56	no tie	W2015					
1263A-33H	333.43	333.43	corr	W2015	1263B-32X	383.02	383.02	no tie	W2015					
1263A-33H	334.22	334.20	corr	W2015										
1263A-33H	334.80	334.70	corr	W2017	1263B-33X	388.01	388.01	no tie	W2015					
					1263B-33X	396.17	396.17	no tie	W2015					
1263A-34X	334.98	334.59	corr	W2015										
1263A-34X	335.16	334.98	corr	W2015										
1263A-34X	335.29	335.30	corr	W2015										
1263A-34X	335.50	335.50	splice	W2015										
1263A-34X	337.92	337.92	splice	W2015										
1263A-34X	338.56	338.38	corr	W2015										
1263A-34X	339.74	339.55	corr	W2017										
1263A-35X	342.28	342.28		no tie										
1263A-35X	348.64	348.64		no tie										
1263A-36X	353.73	353.73		no tie										
1263A-36X	358.17	358.17		no tie										
1263A-37X	362.10	362.10		no tie										
1263A-37X	367.20	367.20		no tie										
1263A-38X	373.43	373.43		no tie										
1263A-38X	380.23	380.23		no tie										
1263A-39X	384.87	384.87		no tie										
1263A-39X	390.62	390.62		no tie										
1263A-40X	396.20	396.20		no tie										
1263A-40X	400.32	400.32		no tie										
