/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S20. Magnetostratigraphic interpretation of characteristic remanent magnetization for ODP Site 208-1263. PANGAEA, https://doi.org/10.1594/PANGAEA.917718, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.532950 * LONGITUDE: 2.779567
	DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00
	MINIMUM DEPTH, sediment/rock: 46.520 m * MAXIMUM DEPTH, sediment/rock: 281.120 m
Event(s):	208-1263 * LATITUDE: -28.532950 * LONGITUDE: 2.779567 * DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00 * ELEVATION: -2717.1 m * Penetration: 1261.5 m * Recovery: 709.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 93 cores; 777.9 m cored; 483.6 m drilled; 91.2 % recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite, adjusted [amcd] (Depth adj mcd) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Inclination [deg] (Incl) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Declination [deg] (Decl) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Maximum angular deviation [deg] (MAD) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Chronozone (Chronozone) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	6308 data points
*/
Sample label	Reference	Depth sed [m]	Depth comp r [rmcd]	Depth adj mcd [amcd]	Incl [deg]	Decl [deg]	MAD [deg]	Chronozone
208-1263A-10H-4,87	this study INGV	83.660	94.957000	94.957	3.34	350.39	0.54	C13r
208-1263A-10H-4,105	this study INGV	83.840	95.129000	95.129	-7.31	354.03	0.78	C13r
208-1263A-10H-4,127	this study INGV	84.060	95.359000	95.359	11.79	348.79	0.70	C13r
208-1263A-10H-4,135.5	this study INGV	84.145	95.448000	95.448				C13r
208-1263A-10H-4,147	this study INGV	84.260	95.568000	95.568	10.60	2.92	0.73	C13r
208-1263A-10H-5,15	this study INGV	84.440	95.756000	95.756	7.17	349.41	1.57	C13r
208-1263A-10H-5,37	this study INGV	84.660	95.952000	95.952	-2.23	347.09	0.59	C13r
208-1263A-10H-5,39	this study INGV	84.680	95.969000	95.969	-3.73	350.18	0.81	C13r
208-1263A-10H-5,52	Bowles2006	84.820	96.110000	96.110	43.50	200.30	3.50	C13r
208-1263A-10H-5,57	this study INGV	84.860	96.141000	96.141	4.06	350.03	0.79	C13r
208-1263A-10H-5,76	this study INGV	85.050	96.339000	96.339	11.17	353.64	1.29	C13r
208-1263A-10H-5,83.5	this study INGV	85.125	96.418000	96.418	6.72	355.84	3.26	C13r
208-1263A-10H-5,97	this study INGV	85.260	96.559000	96.559	5.63	356.28	0.76	C13r
208-1263A-10H-5,117	this study INGV	85.460	96.768000	96.768	8.28	357.74	0.67	C13r
208-1263A-10H-5,134	this study INGV	85.630	96.945000	96.945	27.89	3.98	2.87	C13r
208-1263A-10H-5,136	this study INGV	85.650	96.966000	96.966	5.25	359.74	0.74	C13r
208-1263A-10H-6,7	this study INGV	85.860	97.164000	97.164	6.82	348.94	0.67	C13r
208-1263A-10H-6,26	this study INGV	86.050	97.330000	97.330	11.62	356.02	1.42	C13r
208-1263A-10H-6,27	this study INGV	86.060	97.340000	97.340	2.60	1.75	3.54	C13r
208-1263A-10H-6,47	this study INGV	86.260	97.549000	97.549	4.52	356.29	1.94	C13r
208-1263A-10H-6,67	this study INGV	86.460	97.758000	97.758	14.39	357.00	1.70	C13r
208-1263A-10H-6,75	this study INGV	86.540	97.842000	97.842	24.81	352.94	1.67	C13r
208-1263A-10H-6,86	this study INGV	86.650	97.957000	97.957	20.06	3.11	3.50	C13r
208-1263A-10H-6,107	this study INGV	86.860	98.176000	98.176	11.92	3.10	2.10	C13r
208-1263A-10H-6,124	this study INGV	87.030	98.354000	98.354	29.85	351.05	5.39	C13r
208-1263A-10H-6,127	this study INGV	87.060	98.385000	98.385	30.45	2.55	3.54	C13r
208-1263A-10H-6,146	this study INGV	87.250	98.575000	98.575	19.63	0.79	2.24	C13r
208-1263A-10H-7,17	this study INGV	87.460	98.750000	98.750	19.00	347.33	3.53	C13r
208-1263A-10H-7,26	this study INGV	87.550	98.843000	98.843	29.12	9.49	4.42	C13r
208-1263A-10H-7,37	this study INGV	87.660	98.958000	98.958	18.29	348.82	3.50	C13r
208-1263B-5H-1,82	this study INGV	84.810	99.053000	99.053	30.08	8.80	1.41	C13r
208-1263A-10H-7,52	Bowles2006	87.820	99.110000	99.110	45.60	187.60	0.90	C13r
208-1263A-10H-7,57	this study INGV	87.860	99.167000	99.167	20.55	6.58	0.82	C13r
208-1263B-5H-1,102	this study INGV	85.010	99.258000	99.258	26.42	12.53	1.12	C13r
208-1263B-5H-1,116	this study INGV	85.150	99.401000	99.401	33.57	355.44	1.36	C13r
208-1263B-5H-1,121	this study INGV	85.200	99.451000	99.451	26.31	13.72	2.88	C13r
208-1263B-5H-2,8	this study INGV	85.400	99.654000	99.654	18.64	357.17	1.17	C13r
208-1263B-5H-2,28	this study INGV	85.600	99.857000	99.857	24.41	0.00	0.94	C13r
208-1263B-5H-2,34	this study INGV	85.660	99.917000	99.917	29.86	353.00	2.37	C13r
208-1263B-5H-2,46	this study INGV	85.780	100.039000	100.039	15.45	7.36	1.45	C13r
208-1263B-5H-2,68	this study INGV	86.000	100.262000	100.262	4.57	353.82	1.26	C13r
208-1263B-5H-2,84	this study INGV	86.160	100.425000	100.425	43.40	5.36	2.21	C13r
208-1263B-5H-2,88	this study INGV	86.200	100.465000	100.465	6.51	355.50	1.42	C13r
208-1263B-5H-2,108	this study INGV	86.400	100.667000	100.667	19.38	346.33	1.46	C13r
208-1263B-5H-2,128	this study INGV	86.600	100.871000	100.871	23.89	353.26	1.27	C13r
208-1263B-5H-2,134	this study INGV	86.660	100.932000	100.932	44.66	2.96	1.16	C13r
208-1263B-5H-2,148	this study INGV	86.800	101.073000	101.073	13.54	357.66	1.81	C13r
208-1263B-5H-3,18	this study INGV	87.000	101.272000	101.272	2.92	356.46	0.95	C13r
208-1263B-5H-3,28	this study INGV	87.100	101.363000	101.363	52.13	342.26	1.60	C13r
208-1263B-5H-3,38	this study INGV	87.200	101.453000	101.453	2.59	343.51	0.86	C13r
208-1263B-5H-3,58	this study INGV	87.400	101.655000	101.655	20.37	356.87	0.85	C13r
208-1263B-5H-3,78	this study INGV	87.600	101.859000	101.859	61.53	356.80	2.44	C13r
208-1263B-5H-3,78	this study INGV	87.600	101.859000	101.859	2.40	177.55	2.20	C13r
208-1263B-5H-3,98	this study INGV	87.800	102.061000	102.061	0.13	5.01	0.95	C13r
208-1263B-5H-3,118	this study INGV	88.000	102.264000	102.264	14.06	6.96	0.98	C13r
208-1263B-5H-3,128	this study INGV	88.100	102.365000	102.365	29.42	336.62	1.08	C13r
208-1263B-5H-3,138	this study INGV	88.200	102.467000	102.467	18.84	353.87	1.47	C13r
208-1263A-11H-2,52	Bowles2006	89.820	102.490000	102.653	38.50	209.10	1.90	C13r
208-1263B-5H-4,8	this study INGV	88.400	102.669000	102.669	20.93	352.11	1.11	C13r
208-1263B-5H-4,28	this study INGV	88.600	102.868000	102.868	40.08	3.70	0.81	C13r
208-1263B-5H-4,28	this study INGV	88.600	102.868000	102.868	19.20	352.93	1.65	C13r
208-1263B-5H-4,48	this study INGV	88.800	103.048000	103.048	12.64	351.57	1.11	C13r
208-1263B-5H-4,68	this study INGV	89.000	103.250000	103.250	0.46	160.30	2.21	C13r
208-1263B-5H-4,78	this study INGV	89.100	103.353000	103.353	16.47	13.34	1.50	C13r
208-1263B-5H-4,88	this study INGV	89.200	103.454000	103.454	0.04	167.27	2.38	C13r
208-1263B-5H-4,108	this study INGV	89.400	103.656000	103.656	1.37	356.29	0.81	C13r
208-1263B-5H-4,128	this study INGV	89.600	103.860000	103.860	38.06	314.91	1.14	C13r/C15n
208-1263B-5H-4,128	this study INGV	89.600	103.860000	103.860	9.90	0.88	1.44	C13r/C15n
208-1263B-5H-4,148	this study INGV	89.800	104.062000	104.062	-5.72	1.00	1.50	C13r/C15n
208-1263B-5H-5,18	this study INGV	90.000	104.265000	104.265	-2.48	355.35	0.70	C13r/C15n
208-1263B-5H-5,27	this study INGV	90.090	104.357000	104.357	16.70	4.53	1.22	C13r/C15n
208-1263B-5H-5,38	this study INGV	90.200	104.468000	104.468	-37.83	359.17	0.89	C13r/C15n
208-1263B-5H-5,58	this study INGV	90.400	104.668000	104.668	2.13	357.53	0.82	C13r/C15n
208-1263B-5H-5,78	this study INGV	90.600	104.851000	104.851	-24.32	358.30	0.90	C13r/C15n
208-1263B-5H-5,81	this study INGV	90.630	104.881000	104.881	21.94	4.17	2.14	C13r/C15n
208-1263B-5H-5,98	this study INGV	90.800	105.053000	105.053	-16.69	353.56	1.35	C15n
208-1263B-5H-5,118	this study INGV	91.000	105.256000	105.256	-14.95	350.68	0.94	C15n
208-1263B-5H-5,131	this study INGV	91.130	105.388000	105.388	3.41	6.09	1.60	C15n
208-1263B-5H-5,138	this study INGV	91.200	105.459000	105.459	-3.49	348.43	0.84	C15n
208-1263B-5H-6,8	this study INGV	91.400	105.662000	105.662	-24.83	357.26	0.79	C15n
208-1263B-5H-6,28	this study INGV	91.600	105.864000	105.864	-14.45	345.25	1.08	C15n
208-1263B-5H-6,29	this study INGV	91.610	105.875000	105.875	-11.12	355.83	1.16	C15n
208-1263A-11H-4,62	Bowles2006	92.920	105.590000	105.892	19.40	220.60	3.10	C15n
208-1263B-5H-6,48	this study INGV	91.800	106.067000	106.067	-11.95	347.25	2.35	C15n
208-1263B-5H-6,68	this study INGV	92.000	106.270000	106.270	7.36	346.50	3.26	C15n
208-1263B-5H-6,84	this study INGV	92.160	106.432000	106.432	-27.54	17.64	1.49	C15n
208-1263B-5H-6,88	this study INGV	92.200	106.473000	106.473	-15.24	350.88	0.83	C15n
208-1263B-5H-6,108	this study INGV	92.400	106.676000	106.676	-20.12	348.44	0.80	C15n
208-1263B-5H-7,8	this study INGV	92.600	106.884000	106.884	-34.22	57.19	1.54	C15n
208-1263B-5H-7,14	this study INGV	92.660	106.948000	106.948	-3.11	0.16	2.28	C15n
208-1263C-1H-3,133	this study INGV	94.320	107.058000	107.058				C15n
208-1263C-1H-4,3	this study INGV	94.520	107.242000	107.242	-29.27	14.90	1.49	C15n
208-1263C-1H-4,16	this study INGV	94.650	107.362000	107.362	-14.62	12.61	2.05	C15n
208-1263C-1H-4,23	this study INGV	94.720	107.426000	107.426	-61.54	29.06	0.96	C15n
208-1263C-1H-4,43	this study INGV	94.920	107.651000	107.651	-62.98	26.06	1.02	C15n
208-1263C-1H-4,63	this study INGV	95.120	107.866000	107.866	-10.43	30.14	1.18	C15n/C15r
208-1263C-1H-4,66	this study INGV	95.150	107.895000	107.895	22.65	23.63	2.20	C15r
208-1263C-1H-4,83	this study INGV	95.320	108.051000	108.051	28.65	113.53	3.92	C15r
208-1263C-1H-4,103	this study INGV	95.520	108.240000	108.240	50.53	64.54	1.40	C15r
208-1263C-1H-4,117	this study INGV	95.660	108.402000	108.402	22.36	18.19	2.78	C15r
208-1263C-1H-4,123	this study INGV	95.720	108.470000	108.470	-29.44	51.57	2.03	C15r/C16n.1n
208-1263C-1H-4,143	this study INGV	95.920	108.673000	108.673	-49.74	46.49	2.42	C15r/C16n.1n
208-1263A-11H-6,52	Bowles2006	95.820	108.490000	108.681	35.80	132.20	1.90	C15r/C16n.1n
208-1263C-1H-5,11	this study INGV	96.100	108.838000	108.838	-7.20	11.53	1.90	C15r/C16n.1n
208-1263C-1H-5,14	this study INGV	96.130	108.866000	108.866	23.62	25.31	4.18	C15r/C16n.1n
208-1263C-1H-5,33	this study INGV	96.320	109.041000	109.041	-75.40	347.69	1.77	C15r/C16n.1n
208-1263C-1H-5,53	this study INGV	96.520	109.256000	109.256	-59.17	328.21	2.17	C16n.1n
208-1263C-1H-5,66	this study INGV	96.650	109.395000	109.395	19.77	17.49	3.77	C16n.1n/C16n.1r
208-1263C-1H-5,73	this study INGV	96.720	109.459000	109.459	-19.80	34.79	2.54	C16n.1n/C16n.1r
208-1263C-1H-5,93	this study INGV	96.920	109.644000	109.644	70.55	169.96	3.44	C16n.1r
208-1263C-1H-5,111	this study INGV	97.100	109.811000	109.811	11.71	4.55	0.88	C16n.1r
208-1263C-1H-5,114	this study INGV	97.130	109.846000	109.846	56.07	29.85	2.70	C16n.1r
208-1263C-1H-5,133	this study INGV	97.320	110.063000	110.063	72.09	146.76	6.06	C16n.1r
208-1263C-1H-6,3	this study INGV	97.520	110.242000	110.242	22.52	9.23	1.83	C16n.1r
208-1263B-6H-1,143	this study INGV	94.920	110.315000	110.325	-54.90	225.59	1.27	C16n.1r/C16n.2n
208-1263C-1H-6,16	this study INGV	97.650	110.367000	110.367	15.34	31.93	4.73	C16n.1r/C16n.2n
208-1263B-6H-2,13	this study INGV	95.120	110.413000	110.413	-83.90	196.60	2.14	C16n.1r/C16n.2n
208-1263C-1H-6,23	this study INGV	97.720	110.437000	110.440	23.20	41.44	4.11	C16n.1r/C16n.2n
208-1263B-6H-2,33	this study INGV	95.320	110.586000	110.586	-54.41	124.21	1.43	C16n.1r/C16n.2n
208-1263B-6H-2,43	this study INGV	95.420	110.686000	110.686	18.92	0.11	2.27	C16n.1r/C16n.2n
208-1263B-6H-2,53	this study INGV	95.520	110.789000	110.789	22.63	177.38	0.81	C16n.1r/C16n.2n
208-1263B-6H-2,73	this study INGV	95.720	110.992000	110.992	-36.49	195.05	2.08	C16n.2n
208-1263B-6H-2,91	this study INGV	95.900	111.174000	111.174	-46.30	114.21	1.47	C16n.2n
208-1263B-6H-2,94	this study INGV	95.930	111.205000	111.205	-4.61	12.02	3.23	C16n.2n
208-1263A-12H-1,52	Bowles2006	97.820	111.050000	111.388	29.20	215.10	3.50	C16n.2n
208-1263B-6H-2,113	this study INGV	96.120	111.397000	111.397	-75.62	289.46	0.75	C16n.2n
208-1263B-6H-2,133	this study INGV	96.320	111.588000	111.588	-76.50	81.39	1.06	C16n.2n
208-1263B-6H-2,143	this study INGV	96.420	111.679000	111.679	-3.60	2.88	5.39	C16n.2n
208-1263B-6H-3,4	this study INGV	96.530	111.789000	111.789	-78.33	12.02	4.20	C16n.2n
208-1263B-6H-3,25	this study INGV	96.740	112.003000	112.003	73.68	315.39	0.71	C16r
208-1263B-6H-3,44	this study INGV	96.930	112.195000	112.195	5.17	353.86	2.75	C16r
208-1263B-6H-3,47	this study INGV	96.960	112.226000	112.226	80.37	345.62	2.49	C16r
208-1263B-6H-3,63	this study INGV	97.120	112.388000	112.388	78.07	52.36	1.66	C16r
208-1263B-6H-3,84	this study INGV	97.330	112.601000	112.601	83.87	117.45	1.31	C16r
208-1263B-6H-3,94	this study INGV	97.430	112.702000	112.702	39.96	9.03	2.13	C16r
208-1263B-6H-3,103	this study INGV	97.520	112.794000	112.794	77.57	299.26	1.23	C16r
208-1263B-6H-3,123	this study INGV	97.720	112.997000	112.997	55.63	3.23	1.24	C16r
208-1263B-6H-3,141	this study INGV	97.900	113.179000	113.179	35.72	9.62	0.84	C16r
208-1263B-6H-3,144	this study INGV	97.930	113.209000	113.209	-12.18	49.79	3.17	C16r
208-1263B-6H-4,13	this study INGV	98.120	113.399000	113.399	30.55	115.49	0.87	C16r
208-1263B-6H-4,33	this study INGV	98.320	113.579000	113.579	37.78	332.91	1.26	C16r
208-1263B-6H-4,44	this study INGV	98.430	113.690000	113.690	-11.41	353.65	3.85	C16r
208-1263B-6H-4,53	this study INGV	98.520	113.780000	113.780	48.57	313.74	0.72	C16r
208-1263A-12H-3,52	Bowles2006	100.820	114.050000	113.865	47.00	168.80	5.90	C16r/C17n.1n
208-1263B-6H-4,73	this study INGV	98.720	113.984000	113.984	-51.78	319.43	1.52	C17n.1n
208-1263B-6H-4,89	this study INGV	98.880	114.146000	114.146	-24.22	356.10	1.81	C17n.1n
208-1263B-6H-4,93	this study INGV	98.920	114.186000	114.186	-41.91	16.65	1.90	C17n.1n
208-1263B-6H-4,113	this study INGV	99.120	114.389000	114.389	-68.52	330.14	1.19	C17n.1n
208-1263B-6H-4,132	this study INGV	99.310	114.582000	114.582	-12.96	351.18	0.90	C17n.1n
208-1263B-6H-4,144	this study INGV	99.430	114.704000	114.704	-71.96	351.85	2.33	C17n.1n
208-1263B-6H-5,3	this study INGV	99.520	114.795000	114.795	-12.26	357.73	1.18	C17n.1n
208-1263B-6H-5,23	this study INGV	99.720	114.994000	114.994	-29.61	334.23	0.89	C17n.1n
208-1263B-6H-5,44	this study INGV	99.930	115.184000	115.184	-21.35	355.52	1.31	C17n.1n
208-1263B-6H-5,47	this study INGV	99.960	115.215000	115.215	-4.86	11.05	0.71	C17n.1n
208-1263B-6H-5,63	this study INGV	100.120	115.377000	115.377	-18.48	12.60	1.08	C17n.1n
208-1263B-6H-5,83	this study INGV	100.320	115.580000	115.580	-11.06	6.01	0.99	C17n.1n
208-1263A-12H-5,52	Bowles2006	103.190	116.420000	115.654	34.20	220.10	1.20	C17n.1n
208-1263B-6H-5,94	this study INGV	100.430	115.691000	115.691	-30.53	357.41	3.04	C17n.1n
208-1263B-6H-5,103	this study INGV	100.520	115.783000	115.783	-1.74	354.71	0.75	C17n.1n
208-1263B-6H-5,123	this study INGV	100.720	115.986000	115.986	-12.67	8.45	0.80	C17n.1n
208-1263B-6H-5,143	this study INGV	100.920	116.188000	116.188	-20.83	9.75	1.64	C17n.1n
208-1263B-6H-6,13	this study INGV	101.120	116.391000	116.391	-49.59	40.74	1.15	C17n.1n
208-1263B-6H-6,33	this study INGV	101.320	116.594000	116.594	-72.14	10.63	1.07	C17n.1n
208-1263B-6H-6,53	this study INGV	101.520	116.797000	116.797	-43.51	45.96	1.35	C17n.1n
208-1263B-6H-6,73	this study INGV	101.720	117.000000	117.000	-50.99	36.56	1.38	C17n.1n
208-1263B-6H-6,93	this study INGV	101.920	117.203000	117.203	58.79	310.19	0.92	C17n.1r
208-1263B-6H-6,113	this study INGV	102.120	117.392000	117.392	64.04	337.17	1.15	C17n.1r
208-1263B-6H-6,133	this study INGV	102.320	117.573000	117.574	64.75	322.94	0.80	C17n.1r
208-1263C-2H-1,63	this study INGV	100.120	117.593000	117.593	69.01	21.56	1.73	C17n.1r
208-1263C-2H-1,83	this study INGV	100.320	117.823000	117.823	40.88	32.67	1.69	C17n.1r
208-1263C-2H-1,103	this study INGV	100.520	118.049000	118.049	19.69	353.65	5.04	C17n.1r
208-1263C-2H-1,123	this study INGV	100.720	118.233000	118.233	24.12	349.73	2.17	C17n.1r
208-1263C-2H-1,143	this study INGV	100.940	118.436000	118.436	18.72	1.86	3.13	C17n.1r
208-1263C-2H-2,13	this study INGV	101.120	118.635000	118.635	-6.95	172.64	4.97	C17n.1r/C17n.2n
208-1263C-2H-2,33	this study INGV	101.320	118.826000	118.826	-5.29	337.18	2.57	C17n.1r/C17n.2n
208-1263C-2H-2,49	this study INGV	101.480	118.973000	118.973	-16.50	356.34	1.48	C17n.1r/C17n.2n
208-1263C-2H-2,53	this study INGV	101.520	119.009000	119.009	3.55	333.11	3.38	C17n.1r/C17n.2n
208-1263C-2H-2,73	this study INGV	101.720	119.228000	119.228	-72.47	334.21	1.30	C17n.2n
208-1263C-2H-2,93	this study INGV	101.920	119.430000	119.430	21.78	344.75	1.73	C17n.2n/C17n.2r
208-1263C-2H-2,99	this study INGV	101.980	119.485000	119.485	-39.81	358.20	1.18	C17n.2n/C17n.2r
208-1263C-2H-2,113	this study INGV	102.120	119.614000	119.614	40.35	325.01	1.30	C17n.2r
208-1263C-2H-2,133	this study INGV	102.320	119.833000	119.833	6.44	173.71	1.09	C17n.2r
208-1263C-2H-2,144	this study INGV	102.430	119.960000	119.960	31.95	3.42	2.05	C17n.2r
208-1263C-2H-3,3	this study INGV	102.520	120.047000	120.047	72.09	158.49	2.05	C17n.2r
208-1263C-2H-3,23	this study INGV	102.720	120.230000	120.230	70.60	149.80	3.28	C17n.2r
208-1263C-2H-3,43	this study INGV	102.920	120.420000	120.420	83.03	54.74	1.64	C17n.3n
208-1263C-2H-3,49	this study INGV	102.980	120.489000	120.489	-36.17	349.12	1.88	C17n.3n
208-1263C-2H-3,63	this study INGV	103.120	120.650000	120.650	-13.11	341.65	3.41	C17n.3n
208-1263C-2H-3,83	this study INGV	103.320	120.835000	120.835	-76.78	338.21	2.09	C17n.3n
208-1263C-2H-3,98	this study INGV	103.470	120.973000	120.973	-37.68	345.46	1.87	C17n.3n
208-1263C-2H-3,103	this study INGV	103.520	121.019000	121.019	-70.98	9.59	1.26	C17n.3n
208-1263C-2H-3,123	this study INGV	103.720	121.203000	121.203	-50.92	4.22	1.26	C17n.3n
208-1263C-2H-3,141	this study INGV	103.900	121.408000	121.408	-33.78	0.88	0.90	C17n.3n
208-1263C-2H-3,144	this study INGV	103.930	121.443000	121.443	-30.37	346.34	2.63	C17n.3n
208-1263C-2H-4,13	this study INGV	104.120	121.656000	121.656	-61.29	336.36	1.05	C17n.3n
208-1263C-2H-4,33	this study INGV	104.320	121.840000	121.840	-67.29	0.13	1.09	C17n.3n
208-1263C-2H-4,49	this study INGV	104.480	121.986000	121.986	-61.55	0.26	1.38	C17n.3n
208-1263C-2H-4,53	this study INGV	104.520	122.024000	122.024	-56.01	351.99	1.69	C17n.3n
208-1263C-2H-4,73	this study INGV	104.720	122.236000	122.236	-64.74	350.30	2.71	C17n.3n
208-1263C-2H-4,93	this study INGV	104.920	122.439000	122.439	53.39	299.67	1.87	C17r
208-1263C-2H-4,99	this study INGV	104.980	122.494000	122.494	70.94	37.11	4.50	C17r
208-1263C-2H-4,113	this study INGV	105.120	122.623000	122.623	51.70	308.84	1.55	C17r
208-1263C-2H-4,133	this study INGV	105.320	122.825000	122.825	5.44	356.69	1.49	C17r
208-1263C-2H-5,3	this study INGV	105.520	123.044000	123.044	19.05	341.52	1.75	C17r
208-1263C-2H-5,23	this study INGV	105.720	123.228000	123.228	28.76	341.86	2.27	C17r
208-1263C-2H-5,43	this study INGV	105.920	123.416000	123.416	27.41	333.92	2.09	C17r
208-1263C-2H-5,63	this study INGV	106.120	123.645000	123.645	48.20	307.83	2.75	C17r
208-1263C-2H-5,83	this study INGV	106.320	123.833000	123.833	41.19	328.85	1.41	C17r
208-1263C-2H-5,103	this study INGV	106.520	124.017000	124.017	23.78	337.80	1.22	C17r/C18n.1n
208-1263C-2H-5,123	this study INGV	106.720	124.209000	124.209	-14.62	326.16	1.54	C17r/C18n.1n
208-1263C-2H-5,143	this study INGV	106.920	124.438000	124.438	-17.03	322.03	2.56	C17r/C18n.1n
208-1263C-2H-6,13	this study INGV	107.120	124.637000	124.637	3.32	358.96	2.87	C17r/C18n.1n
208-1263B-7H-1,143	this study INGV	104.420	124.746000	124.750	-19.15	8.37	0.80	C17r/C18n.1n
208-1263B-7H-2,13	this study INGV	104.620	125.055000	125.057	-39.94	352.84	0.70	C18n.1n
208-1263B-7H-2,33	this study INGV	104.820	125.251000	125.252	-18.01	7.29	0.94	C18n.1n
208-1263B-7H-2,53	this study INGV	105.020	125.392000	125.393	-34.93	353.84	0.87	C18n.1n
208-1263B-7H-2,73	this study INGV	105.220	125.542000	125.542	-26.32	3.59	0.85	C18n.1n
208-1263B-7H-2,93	this study INGV	105.420	125.625000	125.625	-21.44	354.64	1.15	C18n.1n
208-1263B-7H-2,113	this study INGV	105.620	125.702000	125.702	-17.93	3.44	0.67	C18n.1n
208-1263B-7H-2,133	this study INGV	105.820	125.764000	125.764	-27.25	5.51	0.91	C18n.1n
208-1263B-7H-3,3	this study INGV	106.020	126.037000	126.037	-22.01	6.03	0.73	C18n.1n
208-1263B-7H-3,23	this study INGV	106.220	126.337000	126.337	-29.96	356.77	0.78	C18n.1n
208-1263B-7H-3,43	this study INGV	106.420	126.608000	126.608	-24.13	11.86	0.71	C18n.1n
208-1263B-7H-3,63	this study INGV	106.620	126.812000	126.812	-44.40	342.17	1.02	C18n.1n
208-1263B-7H-3,84	this study INGV	106.830	127.024000	127.024	-17.28	3.37	0.73	C18n.1n
208-1263B-7H-3,103	this study INGV	107.020	127.217000	127.217	-31.08	14.00	1.64	C18n.1n
208-1263B-7H-3,123	this study INGV	107.220	127.420000	127.420	-38.87	10.63	2.72	C18n.1n
208-1263B-7H-3,143	this study INGV	107.420	127.623000	127.623	-35.89	7.63	2.16	C18n.1n
208-1263B-7H-4,13	this study INGV	107.620	127.826000	127.826	-21.41	6.24	1.42	C18n.1n
208-1263B-7H-4,33	this study INGV	107.820	128.028000	128.028	-21.17	11.37	1.50	C18n.1n
208-1263B-7H-4,53	this study INGV	108.020	128.231000	128.231	-33.44	5.69	2.78	C18n.1n
208-1263B-7H-4,73	this study INGV	108.220	128.415000	128.415	-29.95	12.07	1.67	C18n.1n
208-1263B-7H-4,93	this study INGV	108.420	128.618000	128.618	-21.64	3.03	1.53	C18n.1n
208-1263B-7H-4,111	this study INGV	108.600	128.800000	128.800	-21.25	357.13	1.13	C18n.1n
208-1263B-7H-4,133	this study INGV	108.820	129.023000	129.023	-55.66	350.13	1.25	C18n.1n
208-1263B-7H-5,3	this study INGV	109.020	129.226000	129.226	-23.39	27.43	2.05	C18n.1n
208-1263B-7H-5,23	this study INGV	109.220	129.429000	129.429	-67.97	39.74	1.49	C18n.1n
208-1263B-7H-5,43	this study INGV	109.420	129.628000	129.628	-63.71	71.22	1.49	C18n.1n
