/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S11. Bulk stable carbon and oxygen isotope data of ODP Site 208-1263. PANGAEA, https://doi.org/10.1594/PANGAEA.917512, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.532950 * LONGITUDE: 2.779567
	DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00
	MINIMUM DEPTH, sediment/rock: 70.740 m * MAXIMUM DEPTH, sediment/rock: 285.300 m
Event(s):	208-1263 * LATITUDE: -28.532950 * LONGITUDE: 2.779567 * DATE/TIME START: 2003-03-29T00:00:00 * DATE/TIME END: 2003-04-05T00:00:00 * ELEVATION: -2717.1 m * Penetration: 1261.5 m * Recovery: 709.5 m * LOCATION: Walvis Ridge, Southeast Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 93 cores; 777.9 m cored; 483.6 m drilled; 91.2 % recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tuned time [Ma] (Tuned time) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	δ13C [‰ PDB] (δ13C) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: VPDB
	δ18O [‰] (δ18O) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: VPDB
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	23242 data points
*/
Sample label	Depth sed [m]	Depth comp r [rmcd]	Tuned time [Ma]	δ13C [‰ PDB]	δ18O [‰]	Reference
208-1263C-2H-1,124	100.740	117.740	37.691880	2.1200	0.5800	MARUM Bremen this study
208-1263C-2H-1,128	100.780	117.780	37.698310	2.0500	0.6300	MARUM Bremen this study
208-1263C-2H-1,132	100.820	117.820	37.704730	2.0600	0.6400	MARUM Bremen this study
208-1263C-2H-1,136	100.860	117.860	37.711160	2.1100	0.4800	MARUM Bremen this study
208-1263C-2H-1,140	100.900	117.900	37.717580	2.0600	0.8600	MARUM Bremen this study
208-1263C-2H-1,144	100.940	117.940	37.724010	2.0500	0.5600	MARUM Bremen this study
208-1263C-2H-1,148	100.980	117.980	37.730440	1.9500	0.8900	MARUM Bremen this study
208-1263C-2H-2,2	101.020	118.020	37.736860	1.9000	0.5500	MARUM Bremen this study
208-1263C-2H-2,6	101.060	118.060	37.743290	1.9200	0.5400	MARUM Bremen this study
208-1263C-2H-2,10	101.100	118.100	37.749720	1.9500	0.4900	MARUM Bremen this study
208-1263C-2H-2,14	101.140	118.140	37.756140	1.9900	0.9300	MARUM Bremen this study
208-1263C-2H-2,18	101.180	118.180	37.762570	1.9600	0.7900	MARUM Bremen this study
208-1263C-2H-2,22	101.220	118.220	37.769000	2.0500	0.7600	MARUM Bremen this study
208-1263C-2H-2,26	101.260	118.260	37.775420	2.0500	0.7600	MARUM Bremen this study
208-1263C-2H-2,30	101.300	118.300	37.781850	2.0000	0.8800	MARUM Bremen this study
208-1263C-2H-2,34	101.340	118.340	37.788280	2.0100	0.6700	MARUM Bremen this study
208-1263C-2H-2,38	101.380	118.380	37.794700	2.0100	0.8400	MARUM Bremen this study
208-1263C-2H-2,42	101.420	118.420	37.801130	2.0400	0.8800	MARUM Bremen this study
208-1263C-2H-2,46	101.460	118.460	37.807560	2.0200	0.8600	MARUM Bremen this study
208-1263C-2H-2,50	101.500	118.500	37.813980	2.1200	0.8600	MARUM Bremen this study
208-1263C-2H-2,54	101.540	118.540	37.820410	2.1600	0.8900	MARUM Bremen this study
208-1263C-2H-2,58	101.580	118.580	37.826830	2.1000	0.7700	MARUM Bremen this study
208-1263C-2H-2,62	101.620	118.620	37.833260	2.1200	0.9500	MARUM Bremen this study
208-1263C-2H-2,66	101.660	118.660	37.839690	2.1500	0.9900	MARUM Bremen this study
208-1263C-2H-2,70	101.700	118.700	37.846110	2.0800	0.9400	MARUM Bremen this study
208-1263C-2H-2,74	101.740	118.740	37.852540	2.0500	0.9200	MARUM Bremen this study
208-1263C-2H-2,78	101.780	118.780	37.858970	2.1500	0.7800	MARUM Bremen this study
208-1263C-2H-2,82	101.820	118.820	37.865390	2.0500	0.9300	MARUM Bremen this study
208-1263C-2H-2,86	101.860	118.860	37.869620	2.0200	0.8600	MARUM Bremen this study
208-1263C-2H-2,90	101.900	118.900	37.873110	1.9800	0.7200	MARUM Bremen this study
208-1263C-2H-2,94	101.940	118.940	37.876600	2.0100	0.8600	MARUM Bremen this study
208-1263C-2H-2,98	101.980	118.980	37.880090	2.1000	0.8800	MARUM Bremen this study
208-1263C-2H-2,102	102.020	119.020	37.883580	2.0300	0.9600	MARUM Bremen this study
208-1263C-2H-2,106	102.060	119.060	37.887070	2.0800	1.0000	MARUM Bremen this study
208-1263C-2H-2,110	102.100	119.100	37.890570	1.9700	0.9100	MARUM Bremen this study
208-1263C-2H-2,114	102.140	119.140	37.894060	2.0400	0.9900	MARUM Bremen this study
208-1263C-2H-2,118	102.180	119.180	37.897550	2.0000	0.9600	MARUM Bremen this study
208-1263C-2H-2,122	102.220	119.220	37.901040	1.9100	0.9000	MARUM Bremen this study
208-1263C-2H-2,126	102.260	119.260	37.904530	1.9600	0.8600	MARUM Bremen this study
208-1263C-2H-2,130	102.300	119.300	37.908020	1.9300	0.9200	MARUM Bremen this study
208-1263C-2H-2,134	102.340	119.340	37.911510	1.9500	0.8800	MARUM Bremen this study
208-1263C-2H-2,138	102.380	119.380	37.915000	2.0100	1.1100	MARUM Bremen this study
208-1263C-2H-2,142	102.420	119.420	37.918500	1.9900	1.1200	MARUM Bremen this study
208-1263C-2H-2,146	102.460	119.460	37.921990	1.9500	0.7700	MARUM Bremen this study
208-1263C-2H-2,149	102.490	119.490	37.924610	1.9700	0.8300	MARUM Bremen this study
208-1263C-2H-3,4	102.540	119.540	37.928970	1.9700	0.7900	MARUM Bremen this study
208-1263C-2H-3,8	102.580	119.580	37.932460	2.0000	0.7800	MARUM Bremen this study
208-1263C-2H-3,12	102.620	119.620	37.935950	2.0200	1.0100	MARUM Bremen this study
208-1263C-2H-3,16	102.660	119.660	37.939440	1.9900	0.8700	MARUM Bremen this study
208-1263C-2H-3,20	102.700	119.700	37.942930	1.9700	0.7800	MARUM Bremen this study
208-1263C-2H-3,24	102.740	119.740	37.946430	1.9400	0.6600	MARUM Bremen this study
208-1263C-2H-3,28	102.780	119.780	37.949920	1.9500	0.7700	MARUM Bremen this study
208-1263C-2H-3,32	102.820	119.820	37.953410	1.9700	0.8300	MARUM Bremen this study
208-1263C-2H-3,36	102.860	119.860	37.956900	2.0300	0.8400	MARUM Bremen this study
208-1263C-2H-3,40	102.900	119.900	37.960390	2.0200	0.7700	MARUM Bremen this study
208-1263C-2H-3,44	102.940	119.940	37.963880	2.0300	0.8200	MARUM Bremen this study
208-1263C-2H-3,48	102.980	119.980	37.967370	2.1000	0.9800	MARUM Bremen this study
208-1263C-2H-3,52	103.020	120.020	37.970860	2.0200	1.0300	MARUM Bremen this study
208-1263C-2H-3,56	103.060	120.060	37.974360	2.0100	0.8400	MARUM Bremen this study
208-1263C-2H-3,60	103.100	120.100	37.977850	2.0300	0.7300	MARUM Bremen this study
208-1263C-2H-3,64	103.140	120.140	37.981340	2.0200	0.7500	MARUM Bremen this study
208-1263C-2H-3,68	103.180	120.180	37.984830	1.9600	0.8600	MARUM Bremen this study
208-1263C-2H-3,72	103.220	120.220	37.988320	2.0300	0.8100	MARUM Bremen this study
208-1263C-2H-3,76	103.260	120.260	37.991810	2.0400	0.9600	MARUM Bremen this study
208-1263C-2H-3,80	103.300	120.300	37.995300	2.0000	1.1300	MARUM Bremen this study
208-1263C-2H-3,84	103.340	120.340	37.998790	2.0300	1.0500	MARUM Bremen this study
208-1263C-2H-3,88	103.380	120.380	38.002290	1.9900	0.8300	MARUM Bremen this study
208-1263C-2H-3,92	103.420	120.420	38.005780	2.0100	0.7800	MARUM Bremen this study
208-1263C-2H-3,96	103.460	120.460	38.009270	1.9800	0.8300	MARUM Bremen this study
208-1263C-2H-3,100	103.500	120.500	38.012760	2.0000	1.0300	MARUM Bremen this study
208-1263C-2H-3,104	103.540	120.540	38.016250	2.0400	0.8700	MARUM Bremen this study
208-1263C-2H-3,108	103.580	120.580	38.019740	2.0700	0.8900	MARUM Bremen this study
208-1263C-2H-3,112	103.620	120.620	38.023230	2.0900	0.9800	MARUM Bremen this study
208-1263C-2H-3,116	103.660	120.660	38.026720	2.1100	1.0100	MARUM Bremen this study
208-1263C-2H-3,120	103.700	120.700	38.030210	2.1100	0.9500	MARUM Bremen this study
208-1263C-2H-3,124	103.740	120.740	38.033710	2.0500	0.7900	MARUM Bremen this study
208-1263C-2H-3,128	103.780	120.780	38.037200	2.0900	0.9500	MARUM Bremen this study
208-1263C-2H-3,132	103.820	120.820	38.040690	2.1200	0.8600	MARUM Bremen this study
208-1263C-2H-3,136	103.860	120.860	38.044180	2.1700	0.8100	MARUM Bremen this study
208-1263C-2H-3,140	103.900	120.900	38.047670	2.1700	0.9200	MARUM Bremen this study
208-1263C-2H-3,144	103.940	120.940	38.051160	2.1600	0.8700	MARUM Bremen this study
208-1263C-2H-3,148	103.980	120.980	38.054650	2.2200	0.9800	MARUM Bremen this study
208-1263C-2H-4,2	104.020	121.020	38.058140	2.2200	0.8800	MARUM Bremen this study
208-1263C-2H-4,6	104.060	121.060	38.061640	2.2200	0.8000	MARUM Bremen this study
208-1263C-2H-4,10	104.100	121.100	38.065130	2.2700	0.9300	MARUM Bremen this study
208-1263C-2H-4,14	104.140	121.140	38.068620	2.2600	0.7400	MARUM Bremen this study
208-1263C-2H-4,18	104.180	121.180	38.072110	2.2400	0.9600	MARUM Bremen this study
208-1263C-2H-4,22	104.220	121.220	38.075600	2.2600	0.8200	MARUM Bremen this study
208-1263C-2H-4,26	104.260	121.260	38.079090	2.2700	1.0700	MARUM Bremen this study
208-1263C-2H-4,30	104.300	121.300	38.082580	2.3200	0.9900	MARUM Bremen this study
208-1263C-2H-4,34	104.340	121.340	38.086070	2.2800	1.0100	MARUM Bremen this study
208-1263C-2H-4,38	104.380	121.380	38.089570	2.3100	1.1600	MARUM Bremen this study
208-1263C-2H-4,42	104.420	121.420	38.093060	2.2000	0.8800	MARUM Bremen this study
208-1263C-2H-4,46	104.460	121.460	38.096550	2.2200	1.1700	MARUM Bremen this study
208-1263C-2H-4,50	104.500	121.500	38.100040	2.1600	0.9000	MARUM Bremen this study
208-1263C-2H-4,54	104.540	121.540	38.103530	2.2500	1.1300	MARUM Bremen this study
208-1263C-2H-4,58	104.580	121.580	38.107020	2.2000	0.7500	MARUM Bremen this study
208-1263C-2H-4,62	104.620	121.620	38.110510	2.2700	0.9100	MARUM Bremen this study
208-1263C-2H-4,66	104.660	121.660	38.114000	2.2500	0.9900	MARUM Bremen this study
208-1263C-2H-4,70	104.700	121.700	38.117500	2.2400	0.9400	MARUM Bremen this study
208-1263C-2H-4,74	104.740	121.740	38.120990	2.2800	0.9500	MARUM Bremen this study
208-1263C-2H-4,78	104.780	121.780	38.124480	2.2400	0.8100	MARUM Bremen this study
208-1263C-2H-4,82	104.820	121.820	38.127970	2.3100	0.6800	MARUM Bremen this study
208-1263C-2H-4,86	104.860	121.860	38.131460	2.3300	0.8100	MARUM Bremen this study
208-1263C-2H-4,90	104.900	121.900	38.134950	2.2600	0.7000	MARUM Bremen this study
208-1263C-2H-4,94	104.940	121.940	38.138440	2.2400	0.8100	MARUM Bremen this study
208-1263C-2H-4,98	104.980	121.980	38.141930	2.3300	0.8500	MARUM Bremen this study
208-1263C-2H-4,102	105.020	122.020	38.145430	2.3000	0.8200	MARUM Bremen this study
208-1263C-2H-4,106	105.060	122.060	38.148920	2.3000	0.8400	MARUM Bremen this study
208-1263C-2H-4,110	105.100	122.100	38.152410	2.2900	0.9200	MARUM Bremen this study
208-1263C-2H-4,114	105.140	122.140	38.155900	2.2500	0.9900	MARUM Bremen this study
208-1263C-2H-4,118	105.180	122.180	38.159390	2.2700	0.9300	MARUM Bremen this study
208-1263C-2H-4,122	105.220	122.220	38.162880	2.2600	0.9100	MARUM Bremen this study
208-1263C-2H-4,126	105.260	122.260	38.166370	2.1700	0.9700	MARUM Bremen this study
208-1263C-2H-4,130	105.300	122.300	38.169860	2.1000	0.9200	MARUM Bremen this study
208-1263C-2H-4,134	105.340	122.340	38.173360	2.1900	1.1200	MARUM Bremen this study
208-1263C-2H-4,138	105.380	122.380	38.176850	2.2300	1.0100	MARUM Bremen this study
208-1263C-2H-4,142	105.420	122.420	38.180340	2.2700	0.9800	MARUM Bremen this study
208-1263C-2H-4,146	105.460	122.460	38.183830	2.2500	0.9200	MARUM Bremen this study
208-1263C-2H-4,149	105.490	122.490	38.186450	2.2000	0.8800	MARUM Bremen this study
208-1263C-2H-5,4	105.540	122.540	38.190810	2.1900	1.0400	MARUM Bremen this study
208-1263C-2H-5,8	105.580	122.580	38.194300	2.2100	0.9000	MARUM Bremen this study
208-1263C-2H-5,12	105.620	122.620	38.197790	2.1700	0.9200	MARUM Bremen this study
208-1263C-2H-5,16	105.660	122.660	38.201290	2.1500	0.8000	MARUM Bremen this study
208-1263C-2H-5,20	105.700	122.700	38.204780	2.1100	0.8200	MARUM Bremen this study
208-1263C-2H-5,24	105.740	122.740	38.208270	2.1000	0.8200	MARUM Bremen this study
208-1263C-2H-5,28	105.780	122.780	38.211760	2.1300	0.9000	MARUM Bremen this study
208-1263C-2H-5,32	105.820	122.820	38.215250	2.1400	0.8100	MARUM Bremen this study
208-1263C-2H-5,36	105.860	122.860	38.218740	2.1300	0.8000	MARUM Bremen this study
208-1263C-2H-5,40	105.900	122.900	38.222230	2.1100	0.9300	MARUM Bremen this study
208-1263C-2H-5,44	105.940	122.940	38.225720	2.1200	0.7800	MARUM Bremen this study
208-1263C-2H-5,48	105.980	122.980	38.229210	2.1600	0.8000	MARUM Bremen this study
208-1263C-2H-5,52	106.020	123.020	38.232710	2.1600	0.7400	MARUM Bremen this study
208-1263C-2H-5,56	106.060	123.060	38.236200	2.1800	0.7100	MARUM Bremen this study
208-1263C-2H-5,60	106.100	123.100	38.239690	2.1700	1.0200	MARUM Bremen this study
208-1263C-2H-5,64	106.140	123.140	38.243180	2.1000	0.8900	MARUM Bremen this study
208-1263C-2H-5,68	106.180	123.180	38.246670	2.1300	0.6200	MARUM Bremen this study
208-1263C-2H-5,72	106.220	123.220	38.250160	2.1200	0.8200	MARUM Bremen this study
208-1263C-2H-5,76	106.260	123.260	38.253650	2.1300	0.7900	MARUM Bremen this study
208-1263C-2H-5,80	106.300	123.300	38.257140	2.0800	0.8800	MARUM Bremen this study
208-1263C-2H-5,84	106.340	123.340	38.260640	2.0500	0.8200	MARUM Bremen this study
208-1263C-2H-5,88	106.380	123.380	38.264130	2.0200	0.8400	MARUM Bremen this study
208-1263C-2H-5,92	106.420	123.420	38.270280	2.0100	0.9000	MARUM Bremen this study
208-1263C-2H-5,96	106.460	123.460	38.277310	2.0400	0.9700	MARUM Bremen this study
208-1263C-2H-5,100	106.500	123.500	38.284350	1.9900	0.9300	MARUM Bremen this study
208-1263C-2H-5,104	106.540	123.540	38.291390	1.9200	0.8400	MARUM Bremen this study
208-1263C-2H-5,108	106.580	123.580	38.298430	1.9800	0.9700	MARUM Bremen this study
208-1263C-2H-5,112	106.620	123.620	38.305460	2.0200	0.8000	MARUM Bremen this study
208-1263C-2H-5,116	106.660	123.660	38.312500	2.0900	0.9000	MARUM Bremen this study
208-1263C-2H-5,120	106.700	123.700	38.319540	2.1000	0.8200	MARUM Bremen this study
208-1263C-2H-5,124	106.740	123.740	38.326570	2.0700	0.8300	MARUM Bremen this study
208-1263C-2H-5,128	106.780	123.780	38.333610	2.0900	0.8600	MARUM Bremen this study
208-1263C-2H-5,132	106.820	123.820	38.340650	2.0400	0.7700	MARUM Bremen this study
208-1263C-2H-5,136	106.860	123.860	38.347690	2.0900	0.7600	MARUM Bremen this study
208-1263C-2H-5,140	106.900	123.900	38.354720	2.2100	0.9100	MARUM Bremen this study
208-1263C-2H-5,144	106.940	123.940	38.361760	2.1400	0.8800	MARUM Bremen this study
208-1263C-2H-5,148	106.980	123.980	38.368800	2.2200	0.7500	MARUM Bremen this study
208-1263C-2H-6,2	107.020	124.020	38.375830	2.3100	0.8400	MARUM Bremen this study
208-1263C-2H-6,6	107.060	124.060	38.382870	2.2700	0.8800	MARUM Bremen this study
208-1263C-2H-6,10	107.100	124.100	38.389910	2.2500	0.9000	MARUM Bremen this study
208-1263C-2H-6,14	107.140	124.140	38.396940	2.2200	0.7600	MARUM Bremen this study
208-1263C-2H-6,18	107.180	124.180	38.403980	2.1900	0.9000	MARUM Bremen this study
208-1263C-2H-6,22	107.220	124.220	38.411020	2.2200	0.7600	MARUM Bremen this study
208-1263C-2H-6,26	107.260	124.260	38.418060	2.1700	0.6700	MARUM Bremen this study
208-1263C-2H-6,30	107.300	124.300	38.425090	2.1600	0.7100	MARUM Bremen this study
208-1263C-2H-6,34	107.340	124.340	38.432130	2.2300	0.7600	MARUM Bremen this study
208-1263C-2H-6,38	107.380	124.380	38.439170	2.2400	0.8100	MARUM Bremen this study
208-1263C-2H-6,42	107.420	124.420	38.446200	2.1800	0.6500	MARUM Bremen this study
208-1263C-2H-6,46	107.460	124.460	38.453240	1.9900	0.6100	MARUM Bremen this study
208-1263C-2H-6,50	107.500	124.500	38.460280	2.1400	0.8300	MARUM Bremen this study
208-1263C-2H-6,54	107.540	124.540	38.467310	2.2000	0.8400	MARUM Bremen this study
208-1263C-2H-6,58	107.580	124.580	38.474350	2.2500	0.8000	MARUM Bremen this study
208-1263C-2H-6,62	107.620	124.620	38.481390	2.2400	0.8800	MARUM Bremen this study
208-1263C-2H-6,66	107.660	124.660	38.488430	2.2300	0.8000	MARUM Bremen this study
208-1263C-2H-6,70	107.700	124.700	38.495460	2.2400	0.8700	MARUM Bremen this study
208-1263C-2H-6,74	107.740	124.740	38.502500	2.2100	0.8000	MARUM Bremen this study
208-1263C-2H-6,78	107.780	124.780	38.509540	2.2200	0.6900	MARUM Bremen this study
208-1263C-2H-6,82	107.820	124.820	38.516570	2.2400	1.0400	MARUM Bremen this study
208-1263C-2H-6,86	107.860	124.860	38.523610	2.2200	1.0400	MARUM Bremen this study
208-1263C-2H-6,90	107.900	124.900	38.530650	2.2400	0.9200	MARUM Bremen this study
208-1263C-2H-6,94	107.940	124.940	38.537690	2.2100	0.8800	MARUM Bremen this study
208-1263C-2H-6,98	107.980	124.980	38.544720	2.1600	0.6900	MARUM Bremen this study
208-1263C-2H-7,2	108.020	125.020	38.551760	2.1800	1.0100	MARUM Bremen this study
208-1263C-2H-7,6	108.060	125.060	38.558800	2.1400	1.1500	MARUM Bremen this study
208-1263C-2H-7,10	108.100	125.100	38.565830	2.1200	0.7700	MARUM Bremen this study
208-1263C-2H-7,14	108.140	125.140	38.572870	2.1300	0.7500	MARUM Bremen this study
208-1263C-2H-7,18	108.180	125.180	38.579910	2.1200	0.9500	MARUM Bremen this study
208-1263C-2H-7,22	108.220	125.220	38.586940	2.1100	0.9100	MARUM Bremen this study
208-1263C-2H-7,26	108.260	125.260	38.593980	2.1400	0.9400	MARUM Bremen this study
208-1263C-2H-7,30	108.300	125.300	38.601020	2.1400	1.1100	MARUM Bremen this study
208-1263C-2H-7,34	108.340	125.340	38.608060	2.1000	1.0800	MARUM Bremen this study
208-1263C-2H-7,38	108.380	125.380	38.615090	2.1400	1.2900	MARUM Bremen this study
208-1263C-2H-7,42	108.420	125.420	38.622130	2.0800	1.1200	MARUM Bremen this study
208-1263C-2H-7,46	108.460	125.460	38.629170	2.0600	0.8100	MARUM Bremen this study
208-1263C-2H-7,50	108.500	125.500	38.636200	2.0900	0.7800	MARUM Bremen this study
208-1263C-2H-7,54	108.540	125.540	38.643240	2.0900	0.6900	MARUM Bremen this study
208-1263C-2H-7,58	108.580	125.580	38.649210	2.1000	0.7700	MARUM Bremen this study
208-1263C-2H-7,62	108.620	125.620	38.654820	2.1100	0.8400	MARUM Bremen this study
208-1263C-2H-7,66	108.660	125.660	38.660430	2.0300	0.8100	MARUM Bremen this study
208-1263C-2H-7,70	108.700	125.700	38.666040	2.0300	0.7000	MARUM Bremen this study
208-1263C-2H-7,74	108.740	125.740	38.671650	2.0400	0.6800	MARUM Bremen this study
208-1263C-2H-7,78	108.780	125.780	38.677270	2.1500	0.6300	MARUM Bremen this study
208-1263B-7H-2,98	105.480	125.800	38.680070	2.0800	0.6000	MARUM Bremen this study
208-1263B-7H-2,102	105.520	125.840	38.685680	2.0200	0.7500	MARUM Bremen this study
208-1263B-7H-2,106	105.560	125.880	38.691290	2.1900	0.8300	MARUM Bremen this study
208-1263B-7H-2,110	105.600	125.920	38.696910	2.0700	0.9300	MARUM Bremen this study
208-1263B-7H-2,114	105.640	125.960	38.702520	2.0500	0.9500	MARUM Bremen this study
208-1263B-7H-2,118	105.680	126.000	38.708130	2.0400	0.7900	MARUM Bremen this study
208-1263B-7H-2,122	105.720	126.040	38.713740	2.0400	1.0700	MARUM Bremen this study
208-1263B-7H-2,126	105.760	126.080	38.719350	2.1900	0.8400	MARUM Bremen this study
208-1263B-7H-2,130	105.800	126.120	38.724960	2.1800	0.9200	MARUM Bremen this study
208-1263B-7H-2,134	105.840	126.160	38.730580	2.1500	0.7200	MARUM Bremen this study
208-1263B-7H-2,138	105.880	126.200	38.736190	2.1200	0.9000	MARUM Bremen this study
208-1263B-7H-2,142	105.920	126.240	38.741800	2.1200	1.0900	MARUM Bremen this study
208-1263B-7H-2,146	105.960	126.280	38.747410	2.1200	1.1500	MARUM Bremen this study
208-1263B-7H-2,149	105.990	126.310	38.751620	2.0700	1.0700	MARUM Bremen this study
208-1263B-7H-3,4	106.040	126.360	38.758630	2.1100	0.9200	MARUM Bremen this study
208-1263B-7H-3,8	106.080	126.400	38.764240	2.1400	0.9700	MARUM Bremen this study
208-1263B-7H-3,12	106.120	126.440	38.769860	2.1200	1.0300	MARUM Bremen this study
208-1263B-7H-3,16	106.160	126.480	38.775470	2.0900	0.9900	MARUM Bremen this study
208-1263B-7H-3,20	106.200	126.520	38.781080	2.0700	1.0800	MARUM Bremen this study
208-1263B-7H-3,24	106.240	126.560	38.786690	1.9900	0.9900	MARUM Bremen this study
208-1263B-7H-3,28	106.280	126.600	38.792300	1.9600	0.8500	MARUM Bremen this study
208-1263B-7H-3,32	106.320	126.640	38.797910	1.9900	0.8600	MARUM Bremen this study
208-1263B-7H-3,36	106.360	126.680	38.803530	1.8900	0.6800	MARUM Bremen this study
208-1263B-7H-3,40	106.400	126.720	38.809140	2.0500	0.9000	MARUM Bremen this study
208-1263B-7H-3,44	106.440	126.760	38.814750	2.0800	0.9600	MARUM Bremen this study
208-1263B-7H-3,48	106.480	126.800	38.820360	1.9900	0.9100	MARUM Bremen this study
208-1263B-7H-3,52	106.520	126.840	38.825970	2.1200	0.8600	MARUM Bremen this study
208-1263B-7H-3,56	106.560	126.880	38.831580	2.0600	0.9600	MARUM Bremen this study
208-1263B-7H-3,60	106.600	126.920	38.837190	2.1200	1.0100	MARUM Bremen this study
208-1263B-7H-3,64	106.640	126.960	38.842810	2.0700	1.1100	MARUM Bremen this study
208-1263B-7H-3,68	106.680	127.000	38.848420	2.0900	1.0800	MARUM Bremen this study
208-1263B-7H-3,72	106.720	127.040	38.854030	2.0900	1.0000	MARUM Bremen this study
208-1263B-7H-3,76	106.760	127.080	38.859640	2.1200	1.0200	MARUM Bremen this study
208-1263B-7H-3,80	106.800	127.120	38.865250	2.1000	1.0200	MARUM Bremen this study
208-1263B-7H-3,84	106.840	127.160	38.870860	2.1200	1.1000	MARUM Bremen this study
208-1263B-7H-3,88	106.880	127.200	38.876470	2.1700	0.9800	MARUM Bremen this study
208-1263B-7H-3,92	106.920	127.240	38.882090	2.1400	0.9100	MARUM Bremen this study
208-1263B-7H-3,96	106.960	127.280	38.887700	2.2300	1.0400	MARUM Bremen this study
208-1263B-7H-3,100	107.000	127.320	38.893310	2.1600	0.7800	MARUM Bremen this study
208-1263B-7H-3,104	107.040	127.360	38.898920	2.1700	1.0500	MARUM Bremen this study
208-1263B-7H-3,108	107.080	127.400	38.904530	2.1800	1.1000	MARUM Bremen this study
208-1263B-7H-3,112	107.120	127.440	38.910140	2.1300	0.9900	MARUM Bremen this study
208-1263B-7H-3,116	107.160	127.480	38.915760	2.0900	0.9700	MARUM Bremen this study
208-1263B-7H-3,120	107.200	127.520	38.921370	2.1700	1.0300	MARUM Bremen this study
208-1263B-7H-3,124	107.240	127.560	38.926980	2.1700	0.9200	MARUM Bremen this study
208-1263B-7H-3,128	107.280	127.600	38.932590	2.2300	1.1700	MARUM Bremen this study
208-1263B-7H-3,132	107.320	127.640	38.938200	2.2100	1.0600	MARUM Bremen this study
208-1263B-7H-3,136	107.360	127.680	38.943810	2.1700	0.9200	MARUM Bremen this study
208-1263B-7H-3,140	107.400	127.720	38.949420	2.2200	0.9300	MARUM Bremen this study
208-1263B-7H-3,144	107.440	127.760	38.955040	2.2100	0.9800	MARUM Bremen this study
208-1263B-7H-3,148	107.480	127.800	38.960650	2.1200	0.7700	MARUM Bremen this study
208-1263B-7H-4,2	107.520	127.840	38.966260	2.1500	0.7200	MARUM Bremen this study
208-1263B-7H-4,6	107.560	127.880	38.971870	2.1700	0.8600	MARUM Bremen this study
208-1263B-7H-4,10	107.600	127.920	38.977480	2.0800	0.8700	MARUM Bremen this study
208-1263B-7H-4,14	107.640	127.960	38.983090	2.0900	0.9900	MARUM Bremen this study
208-1263B-7H-4,18	107.680	128.000	38.988710	2.1700	0.8600	MARUM Bremen this study
208-1263B-7H-4,22	107.720	128.040	38.994320	2.2100	0.8800	MARUM Bremen this study
208-1263B-7H-4,26	107.760	128.080	38.999930	2.1900	0.9400	MARUM Bremen this study
