/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S16. Revised site-to-site correlation tie points between ODP Sites 208-1263 and 208-1267. PANGAEA, https://doi.org/10.1594/PANGAEA.917523, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -28.098083 * LONGITUDE: 1.710967
	DATE/TIME START: 2003-04-21T00:00:00 * DATE/TIME END: 2003-04-26T00:00:00
	MINIMUM DEPTH, sediment/rock: 44.930 m * MAXIMUM DEPTH, sediment/rock: 288.570 m
Event(s):	208-1267 * LATITUDE: -28.098083 * LONGITUDE: 1.710967 * DATE/TIME START: 2003-04-21T00:00:00 * DATE/TIME END: 2003-04-26T00:00:00 * ELEVATION: -4354.7 m * Penetration: 641.1 m * Recovery: 636.6 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg208 (URI: https://doi.org/10.2973/odp.proc.ir.208.2004) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 69 cores; 641.1 m cored; 0 m drilled; 99.3 % recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite [mcd] (Depth comp) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tie point (Tie point) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: corrected
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	1470 data points
*/
Sample label	Depth sed [m] (mbsf)	Depth comp [mcd]	Tie point	Sample label	Depth sed [m] (mbsf)	Depth comp r [rmcd]	Depth comp r [rmcd] (corrected)	Reference
208-1267B-21-4,78	188.880	211.88	Ties To	208-1263C-11-5,68	260.58	304.37		Westerhold et al. 2017
208-1267B-21-4,141	189.510	212.51	Ties To	208-1263C-11-6,4	261.44	305.23		Westerhold et al. 2017
208-1267B-21-5,24	189.840	212.84	Ties To	208-1263C-11-6,68	262.08	305.87		Westerhold et al. 2017
208-1267B-21-5,55	190.150	213.15	Ties To	208-1263C-11-6,115	262.55	306.34		Westerhold et al. 2007
208-1267B-21-5,93	190.530	213.53	Ties To	208-1263C-11-7,10	263.00	306.79		Westerhold et al. 2007
208-1267B-21-5,128	190.880	213.88	Ties To	208-1263A-30-1,86	261.46	307.25		Westerhold et al. 2007
208-1267B-21-6,18	191.280	214.28	Ties To	208-1263A-30-1,143	262.03	307.82		Westerhold et al. 2007
208-1267B-21-6,55	191.650	214.65	Ties To	208-1263A-30-2,50	262.60	308.39		Westerhold et al. 2007
208-1267B-21-6,93	192.030	215.03	Ties To	208-1263A-30-2,108	263.18	308.97		Westerhold et al. 2007
208-1267B-21-6,142	192.520	215.52	Ties To	208-1263A-30-3,18	263.78	309.57		Westerhold et al. 2017
208-1267A-21-4,42	193.620	215.82	Ties To	208-1263A-30-3,64	264.24	310.03		Westerhold et al. 2017
208-1267A-21-4,77	193.970	216.17	Ties To	208-1263A-30-3,112	264.72	310.51		Westerhold et al. 2017
208-1267A-21-4,115	194.350	216.55	Ties To	208-1263A-30-4,13	265.23	311.02		Westerhold et al. 2007
208-1267A-21-4,148	194.680	216.88	Ties To	208-1263A-30-4,66	265.76	311.55		Westerhold et al. 2007
208-1267A-21-5,34	195.040	217.24	Ties To	208-1263A-30-4,110	266.20	311.99		Westerhold et al. 2017
208-1267A-21-5,67	195.370	217.57	Ties To	208-1263A-30-5,14	266.74	312.53		Westerhold et al. 2017
208-1267A-21-5,111	195.810	218.01	Ties To	208-1263A-30-5,72	267.32	313.11		Westerhold et al. 2017
208-1267A-21-5,148	196.180	218.38	Ties To	208-1263A-30-5,113	267.73	313.52		Westerhold et al. 2007
208-1267A-21-6,40	196.600	218.80	Ties To	208-1263A-30-6,20	268.30	314.09		Westerhold et al. 2017
208-1267A-21-6,76	196.960	219.16	Ties To	208-1263A-30-6,66	268.76	314.55		Westerhold et al. 2017
208-1267A-21-6,96	197.160	219.36	Ties To	208-1263A-30-6,106	269.16	314.95		Westerhold et al. 2017
208-1267B-22-2,53	195.130	219.68	Ties To	208-1263A-30-7,4	269.64	315.43		Westerhold et al. 2017
208-1267B-22-2,78	195.380	219.93	Ties To	208-1263C-12-5,94	270.34	315.84		Westerhold et al. 2017
208-1267B-22-2,112	195.720	220.27	Ties To	208-1263C-12-5,134	270.74	316.24		Westerhold et al. 2017
208-1267B-22-3,2	196.120	220.67	Ties To	208-1263C-12-6,40	271.30	316.80		Westerhold et al. 2017
208-1267B-22-3,50	196.600	221.15	Ties To	208-1263C-12-6,94	271.84	317.34		Westerhold et al. 2017
208-1267B-22-3,79	196.890	221.44	Ties To	208-1263C-12-7,20	272.30	317.80		Westerhold et al. 2017
208-1267B-22-3,110	197.200	221.75	Ties To	208-1263C-12-7,60	272.70	318.20		Westerhold et al. 2017
208-1267B-22-4,2	197.620	222.17	Ties To	208-1263D-1-1,96	272.96	318.72		Westerhold et al. 2017
208-1267B-22-4,38	197.980	222.53	Ties To	208-1263D-1-1,146	273.46	319.22		Westerhold et al. 2007
208-1267B-22-4,65	198.250	222.80	Ties To	208-1263D-1-2,57	274.07	319.83		Westerhold et al. 2007
208-1267B-22-4,95	198.550	223.10	Ties To	208-1263D-1-2,112	274.62	320.38		Westerhold et al. 2007
208-1267B-22-4,124	198.840	223.39	Ties To	208-1263B-27-1,34	271.44	320.72		Westerhold et al. 2017
208-1267B-22-5,9	199.190	223.74	Ties To	208-1263B-27-1,88	271.98	321.26		Westerhold et al. 2017
208-1267B-22-5,57	199.670	224.22	Ties To	208-1263A-32-1,122	272.82	321.90		Westerhold et al. 2017
208-1267B-22-5,92	200.020	224.57	Ties To	208-1263A-32-2,36	273.46	322.54		Westerhold et al. 2017
208-1267B-22-5,133	200.430	224.98	Ties To	208-1263A-32-2,98	274.08	323.16		Westerhold et al. 2007
208-1267B-22-6,15	200.750	225.30	Ties To	208-1263A-32-3,6	274.66	323.74		Westerhold et al. 2017
208-1267B-22-6,47	201.070	225.62	Ties To	208-1263A-32-3,56	275.16	324.24		Westerhold et al. 2017
208-1267B-22-6,78	201.380	225.93	Ties To	208-1263A-32-3,106	275.66	324.74		Westerhold et al. 2017
208-1267A-22-3,68	201.950	226.25	Ties To	208-1263A-32-4,5	276.15	325.23		Westerhold et al. 2017
208-1267A-22-3,93	202.200	226.50	Ties To	208-1263A-32-4,38	276.48	325.56		Westerhold et al. 2007
208-1267A-22-3,118	202.450	226.75	Ties To	208-1263A-32-4,81	276.91	325.99		Westerhold et al. 2017
208-1267A-22-4,5	202.820	227.12	Ties To	208-1263A-32-4,138	277.48	326.56		Röhl et al. 2007
208-1267A-22-4,28	203.050	227.35	Ties To	208-1263C-13-5,13	279.03	327.01		Röhl et al. 2007
208-1267A-22-4,55	203.320	227.62	Ties To	208-1263C-13-5,65	279.55	327.53		Röhl et al. 2007
208-1267A-22-4,93	203.700	228.00	Ties To	208-1263C-13-5,142	280.32	328.30		Röhl et al. 2007
208-1267A-22-4,130	204.070	228.37	Ties To	208-1263C-13-6,73	281.13	329.11		Röhl et al. 2007
208-1267A-22-5,13	204.400	228.70	Ties To	208-1263C-13-6,120	281.60	329.58		Röhl et al. 2007
208-1267A-22-5,38	204.650	228.95	Ties To	208-1263C-13-7,25	282.15	330.13		Röhl et al. 2007
208-1267B-23-1,60	203.200	229.25	Ties To	208-1263C-13-8,3	282.80	330.78		Röhl et al. 2007
208-1267B-23-2,15	204.250	230.30	Ties To	208-1263D-3-1,28	281.78	332.12		Röhl et al. 2007
208-1267B-23-2,49	204.590	230.64	Ties To	208-1263C-14-1,48	282.88	332.79		Röhl et al. 2007
208-1267B-23-3,18	204.880	230.93	Ties To	208-1263C-14-1,108	283.48	333.39		Röhl et al. 2007
208-1267B-23-3,47	205.170	231.22	Ties To	208-1263C-14-2,7	283.97	333.88		Röhl et al. 2007
208-1267B-23-3,65	205.350	231.40	Ties To	208-1263C-14-2,48	284.38	334.29		Röhl et al. 2007
208-1267B-23-3,77	205.470	231.52	Ties To	208-1263C-14-2,76	284.66	334.57		Röhl et al. 2007
208-1267B-23-3,88	205.580	231.63	Ties To	208-1263C-14-2,101	284.91	334.82		Röhl et al. 2007
208-1267B-23-3,94	205.640	231.69	Ties To	208-1263C-14-2,123	285.13	335.04		Röhl et al. 2007
208-1267B-23-3,102	205.720	231.77	Ties To	208-1263C-14-2,146	285.36	335.27		Röhl et al. 2007
208-1267B-23-3,108	205.780	231.83	Ties To	208-1263D-4-1,75	285.05	335.38		Westerhold et al. 2017
208-1267B-23-4,2	206.220	232.27	Ties To	208-1263A-34-1,118	285.28	336.14		Westerhold et al. 2017
208-1267B-23-4,38	206.580	232.63	Ties To	208-1263A-34-2,40	286.00	336.86		Röhl et al. 2007
208-1267B-23-4,60	206.800	232.85	Ties To	208-1263A-34-2,65	286.25	337.11		Röhl et al. 2007
208-1267B-23-4,85	207.050	233.10	Ties To	208-1263A-34-2,96	286.56	337.42		Röhl et al. 2007
208-1267B-23-4,110	207.300	233.35	Ties To	208-1263A-34-2,136	286.96	337.82		Röhl et al. 2007
208-1267B-23-4,140	207.600	233.65	Ties To	208-1263C-16-1,142	287.12	338.20		Röhl et al. 2007
208-1267B-23-5,13	207.830	233.88	Ties To	208-1263C-16-2,19	287.39	338.47		Röhl et al. 2007
208-1267B-23-5,36	208.060	234.11	Ties To	208-1263C-16-2,38	287.58	338.66		Westerhold et al. 2017
208-1267B-23-5,72	208.420	234.47	Ties To	208-1263C-16-2,86	288.06	339.14		Westerhold et al. 2017
208-1267B-23-5,125	208.950	235.00	Ties To	208-1263C-16-3,37	288.57	339.65		Westerhold et al. 2017
