/* DATA DESCRIPTION:
Citation:	Westerhold, Thomas (2020): S24. Age model of ODP Site 154-926 Ceara Rise. PANGAEA, https://doi.org/10.1594/PANGAEA.917570, 
	In: Westerhold, T (2020): Cenozoic global reference benthic carbon and oxygen isotope dataset (CENOGRID). PANGAEA, https://doi.org/10.1594/PANGAEA.917503
Keyword(s):	Cenozoic Climate; Ocean Drilling
Related to:	Westerhold, Thomas; Marwan, Norbert; Drury, Anna Joy; Liebrand, Diederik; Agnini, Claudia; Anagnostou, Eleni; Barnet, James S K; Bohaty, Steven M; De Vleeschouwer, David; Florindo, Fabio; Frederichs, Thomas; Hodell, David A; Holbourn, Ann E; Kroon, Dick; Lauretano, Vittoria; Littler, Kate; Lourens, Lucas Joost; Lyle, Mitchell W; Pälike, Heiko; Röhl, Ursula; Tian, Jun; Wilkens, Roy H; Wilson, Paul A; Zachos, James C (2020): An astronomically dated record of Earth's climate and its predictability over the last 66 million years. Science, 369, 1383-1387, https://doi.org/10.1126/science.aba6853
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: 3.719017 * LONGITUDE: -42.908300
	DATE/TIME START: 1994-02-19T00:00:00 * DATE/TIME END: 1994-02-27T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.000 m * MAXIMUM DEPTH, sediment/rock: 282.320 m
Event(s):	154-926 * LATITUDE: 3.719017 * LONGITUDE: -42.908300 * DATE/TIME START: 1994-02-19T00:00:00 * DATE/TIME END: 1994-02-27T00:00:00 * ELEVATION: -3610.0 m * Penetration: 1331.1 m * Recovery: 1322.4 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg154 (URI: https://doi.org/10.2973/odp.proc.ir.154.1995) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 141 cores; 1330.6 m cored; 0 m drilled; 99.4% recovery
Parameter(s):	Sample code/label (Sample label) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html) * COMMENT: mbsf
	Depth, composite revised [rmcd] (Depth comp r) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Tuned time [Ma] (Tuned time) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
	Reference/source (Reference) * PI: Westerhold, Thomas (https://orcid.org/0000-0001-8151-4684, twesterhold@marum.de, http://www.marum.de/Thomas_Westerhold.html)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	2500 data points
*/
Sample label	Depth sed [m]	Depth comp r [rmcd]	Tuned time [Ma]	Reference
154-926B-17H-1,107	150.570	169.71	5.744	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-17H-1,131	150.810	169.95	5.754	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-17H-2,23	151.230	170.37	5.773	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-17H-2,87	151.870	171.01	5.794	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-17H-2,134	152.340	171.48	5.815	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-17H-3,41	152.910	172.05	5.837	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-17H-3,118	153.680	172.82	5.867	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-17H-4,8	154.080	173.22	5.887	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-17H-4,62	154.620	173.76	5.909	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-17H-2,72	154.720	174.12	5.929	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-17H-2,119	155.190	174.59	5.952	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-17H-3,25	155.750	175.15	5.983	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-17H-3,79	156.290	175.69	6.002	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-17H-3,119	156.690	176.09	6.024	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-17H-4,2	157.020	176.42	6.042	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-17H-4,38	157.380	176.78	6.061	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-17H-4,77	157.770	177.17	6.079	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-17H-4,113	158.130	177.53	6.099	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-17H-5,11	158.610	178.01	6.120	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-17H-5,38	158.880	178.28	6.138	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-17H-5,69	159.190	178.59	6.155	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-17H-5,101	159.510	178.91	6.172	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-17H-5,137	159.870	179.27	6.194	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-17H-6,14	160.140	179.54	6.214	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-17H-6,44	160.440	179.84	6.237	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-17H-6,94	160.940	180.34	6.267	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-18H-2,51	161.010	180.72	6.287	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-18H-2,88	161.380	181.09	6.309	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-18H-2,135	161.850	181.56	6.329	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-18H-3,27	162.270	181.98	6.353	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-18H-3,84	162.840	182.55	6.381	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-18H-3,120	163.200	182.91	6.402	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-18H-4,6	163.560	183.27	6.422	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-18H-4,54	164.040	183.75	6.443	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-18H-4,83	164.330	184.04	6.458	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-18H-4,116	164.660	184.37	6.480	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-18H-5,3	165.030	184.74	6.497	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-18H-5,37	165.370	185.08	6.517	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-18H-5,66	165.660	185.37	6.533	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-18H-5,102	166.020	185.73	6.552	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-18H-5,145	166.450	186.16	6.573	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-18H-4,82	167.320	186.48	6.595	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-18H-4,132	167.820	186.98	6.615	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-18H-5,51	168.510	187.67	6.646	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-18H-5,94	168.940	188.10	6.665	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-18H-5,141	169.410	188.57	6.688	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-18H-6,26	169.760	188.92	6.708	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-18H-6,62	170.120	189.28	6.738	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-18H-6,81	170.310	189.47	6.760	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-18H-6,115	170.650	189.81	6.780	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-1,57	169.070	190.08	6.802	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-1,92	169.420	190.43	6.819	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-1,125	169.750	190.76	6.835	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-2,21	170.210	191.22	6.857	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-2,42	170.420	191.43	6.876	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-2,130	171.300	192.31	6.930	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-3,15	171.650	192.66	6.950	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-3,65	172.150	193.16	6.973	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-3,145	172.950	193.96	7.021	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-4,21	173.210	194.22	7.044	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-4,55	173.550	194.56	7.065	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-4,80	173.800	194.81	7.088	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-4,110	174.100	195.11	7.108	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-4,140	174.400	195.41	7.137	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-5,8	174.580	195.59	7.157	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-5,35	174.850	195.86	7.180	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-5,53	175.030	196.04	7.201	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-5,86	175.360	196.37	7.224	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-5,114	175.640	196.65	7.254	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-5,136	175.860	196.87	7.271	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-19H-6,26	176.260	197.27	7.294	refined Drury et al. 2017
154-926B-19H-6,47	176.470	197.48	7.308	refined Drury et al. 2017
154-926B-19H-6,70	176.700	197.71	7.331	refined Drury et al. 2017
154-926A-20H-1,137	176.370	198.02	7.349	refined Drury et al. 2017
154-926A-20H-2,49	176.990	198.64	7.399	refined Drury et al. 2017
154-926A-20H-2,85	177.350	199.00	7.421	refined Drury et al. 2017
154-926A-20H-3,7	178.070	199.72	7.465	refined Drury et al. 2017
154-926A-20H-3,37	178.370	200.02	7.491	refined Drury et al. 2017
154-926A-20H-3,74	178.740	200.39	7.512	refined Drury et al. 2017
154-926A-20H-3,105	179.050	200.70	7.536	refined Drury et al. 2017
154-926A-20H-3,138	179.380	201.03	7.556	refined Drury et al. 2017
154-926A-20H-4,37	179.870	201.52	7.581	refined Drury et al. 2017
154-926A-20H-4,80	180.300	201.95	7.607	refined Drury et al. 2017
154-926A-20H-4,105	180.550	202.20	7.627	refined Drury et al. 2017
154-926A-20H-4,125	180.750	202.40	7.647	refined Drury et al. 2017
154-926A-20H-5,0	181.000	202.65	7.665	refined Drury et al. 2017
154-926A-20H-5,35	181.350	203.00	7.685	refined Drury et al. 2017
154-926B-20H-3,50	181.500	203.86	7.732	refined Drury et al. 2017
154-926B-20H-3,101	182.010	204.37	7.755	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-20H-3,138	182.380	204.74	7.779	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-20H-4,25	182.750	205.11	7.799	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-20H-4,60	183.100	205.46	7.822	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-20H-4,101	183.510	205.87	7.846	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-20H-4,143	183.930	206.29	7.870	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-20H-5,30	184.300	206.66	7.892	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-20H-5,69	184.690	207.05	7.913	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-20H-5,119	185.190	207.55	7.936	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-20H-6,17	185.670	208.03	7.962	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-20H-6,61	186.110	208.47	7.985	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-20H-6,88	186.380	208.74	8.006	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-21H-4,9	195.090	209.12	8.027	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-21H-4,96	195.960	209.99	8.080	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-21H-4,122	196.220	210.25	8.102	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-21H-5,9	196.590	210.62	8.119	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-21H-5,42	196.920	210.95	8.137	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-21H-5,80	197.300	211.33	8.156	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-21H-5,120	197.700	211.73	8.176	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-21H-6,15	198.150	212.18	8.198	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-21H-6,78	198.780	212.81	8.222	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-21H-6,118	199.180	213.21	8.248	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-21H-7,19	199.690	213.72	8.270	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-22H-1,60	200.600	214.11	8.291	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-22H-1,105	201.050	214.56	8.313	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-22H-2,44	201.940	215.45	8.363	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-22H-2,85	202.350	215.86	8.385	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-22H-2,129	202.790	216.29	8.405	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-22H-3,16	203.160	216.67	8.426	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-22H-3,46	203.460	216.97	8.443	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-22H-3,68	203.680	217.18	8.460	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-22H-3,91	203.910	217.42	8.480	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-22H-3,113	204.130	217.64	8.499	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-22H-3,144	204.440	217.95	8.519	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-22H-4,19	204.690	218.20	8.536	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-22H-4,54	205.040	218.54	8.557	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-22H-4,80	205.300	218.81	8.576	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-22H-4,110	205.600	219.11	8.599	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-22H-5,30	206.300	219.81	8.649	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-22H-5,60	206.600	220.11	8.671	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-22H-4,11	201.610	220.46	8.691	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-22H-4,43	201.930	220.78	8.715	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-22H-4,121	202.710	221.57	8.764	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-22H-5,1	203.010	221.86	8.785	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-22H-5,36	203.360	222.21	8.806	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-22H-5,85	203.850	222.71	8.841	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-22H-5,115	204.150	223.00	8.859	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-22H-6,1	204.510	223.36	8.880	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-22H-6,34	204.840	223.69	8.898	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-22H-6,65	205.150	224.00	8.915	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-22H-6,96	205.460	224.32	8.935	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-22H-6,121	205.710	224.57	8.956	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-23H-1,19	203.690	224.90	8.976	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-23H-1,135	204.850	226.06	9.035	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-23H-2,15	205.150	226.35	9.058	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-23H-2,55	205.550	226.76	9.079	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-23H-2,99	205.990	227.20	9.102	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-23H-2,132	206.320	227.53	9.127	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-23H-3,19	206.690	227.90	9.150	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-23H-3,57	207.070	228.28	9.171	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-23H-3,94	207.440	228.65	9.194	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-23H-4,7	208.070	229.28	9.242	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-23H-4,44	208.440	229.65	9.266	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-23H-4,68	208.680	229.88	9.284	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-23H-4,132	209.320	230.53	9.321	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-23H-5,21	209.710	230.92	9.345	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-23H-5,57	210.070	231.28	9.362	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-23H-5,102	210.520	231.73	9.394	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-23H-5,135	210.850	232.06	9.412	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-23H-6,26	211.260	232.46	9.437	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-23H-6,54	211.540	232.74	9.459	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-23H-6,93	211.930	233.13	9.482	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-23H-4,49	211.490	233.50	9.507	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-23H-4,79	211.790	233.80	9.527	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-23H-4,116	212.160	234.17	9.553	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-23H-4,146	212.460	234.47	9.573	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-23H-5,43	212.930	234.94	9.599	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-23H-5,110	213.600	235.61	9.641	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-23H-6,26	214.260	236.27	9.676	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-23H-6,46	214.460	236.47	9.692	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-23H-6,85	214.850	236.86	9.719	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-24H-2,61	221.110	237.27	9.751	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-24H-2,100	221.500	237.66	9.769	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-24H-2,140	221.900	238.06	9.792	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-24H-3,18	222.180	238.34	9.812	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-24H-3,73	222.730	238.89	9.839	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-24H-3,97	222.970	239.13	9.863	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-24H-3,129	223.290	239.45	9.884	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-24H-4,10	223.600	239.76	9.906	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-24H-4,43	223.930	240.09	9.927	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-24H-4,73	224.230	240.39	9.956	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-24H-4,93	224.430	240.59	9.977	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-24H-4,124	224.740	240.90	9.999	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-24H-5,107	220.070	241.88	10.073	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-24H-5,125	220.250	242.06	10.092	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-24H-6,8	220.580	242.39	10.169	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-24H-6,24	220.740	242.55	10.190	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-24H-6,49	220.990	242.80	10.208	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-24H-6,83	221.330	243.14	10.243	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-24H-6,113	221.630	243.44	10.263	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-24H-6,132	221.820	243.63	10.284	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-24H-7,1	222.010	243.82	10.304	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-24H-7,18	222.180	243.99	10.356	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-24H-7,43	222.430	244.24	10.377	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-24H-7,60	222.600	244.41	10.398	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-24H-5,44	222.440	244.51	10.417	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-24H-5,63	222.630	244.70	10.430	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-24H-5,85	222.850	244.92	10.451	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-24H-5,102	223.020	245.09	10.470	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-24H-5,119	223.190	245.26	10.491	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-24H-5,140	223.400	245.46	10.509	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-24H-6,13	223.630	245.70	10.529	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926B-24H-6,30	223.800	245.87	10.547	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-2,53	224.530	246.90	10.621	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-2,79	224.790	247.15	10.642	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-2,104	225.040	247.40	10.663	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-3,43	225.930	248.29	10.736	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-3,65	226.150	248.51	10.756	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-3,96	226.460	248.83	10.778	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-4,13	227.130	249.50	10.828	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-4,33	227.330	249.70	10.851	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-4,55	227.550	249.92	10.870	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-4,82	227.820	250.19	10.892	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-4,99	227.990	250.36	10.907	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-4,114	228.140	250.51	10.927	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-4,140	228.400	250.76	10.946	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-5,13	228.630	251.00	10.966	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-5,89	229.390	251.76	11.021	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-5,108	229.580	251.95	11.041	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-5,132	229.820	252.19	11.063	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-6,44	230.440	252.81	11.113	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-6,71	230.710	253.08	11.136	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-6,86	230.860	253.23	11.156	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-6,104	231.040	253.40	11.178	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-7,4	231.540	253.90	11.228	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-7,19	231.690	254.06	11.249	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926A-25H-7,38	231.880	254.25	11.270	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-25H-7,14	237.640	254.51	11.308	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-25H-7,26	237.760	254.62	11.324	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-25H-7,46	237.960	254.83	11.345	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-25H-7,63	238.130	255.00	11.362	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-25H-7,74	238.240	255.11	11.381	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-1,10	238.100	255.31	11.400	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-1,29	238.290	255.50	11.421	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-1,54	238.540	255.74	11.442	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-1,88	238.880	256.08	11.472	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-1,118	239.180	256.39	11.492	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-1,144	239.440	256.64	11.514	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-2,12	239.620	256.82	11.535	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-2,44	239.940	257.14	11.559	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-2,74	240.240	257.44	11.585	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-2,94	240.440	257.64	11.606	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-2,112	240.620	257.82	11.629	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-2,131	240.810	258.01	11.648	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-3,12	241.120	258.32	11.681	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-3,52	241.520	258.72	11.723	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-3,99	241.990	259.19	11.760	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-3,146	242.460	259.66	11.799	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-4,24	242.740	259.94	11.818	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-4,53	243.030	260.23	11.846	Zeeden et al. 2013 updated in Wilkens et al. 2017
154-926C-26H-4,83	243.330	260.53	11.871	Zeeden et al. 2013 updated in Wilkens et al. 2017
